id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,b'L(R) #post,b'L(R) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1,,1109,3,4356555624
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,2,,1827,9,3979007410
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1,,7,3,403977461
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,7,1,367958807
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,,1,1198248632
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,1,,47,16,239327987
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,4,1,12,2,1011197699
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,4,,6,1,917030170
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1,,6,5,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,17,7,6190229391
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,1,,339,66,394753648
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,1,,13,1,1042477121
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,1,1,420,186,467187303
