id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,gL(R) #post,gL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,424,316,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,1101,873,40,1,1823088730
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,1,3,475,195,2704741582
768224139,FB4O_R,CRESMPFB4d,FB4O,Traced,1631,723,798,649,5,2,1032262836
915960293,FB6V_R,SMPCREFB6_3,FB6V,Traced,2761,558,1767,431,,1,1066156982
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,612,82,,2,3591373150
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,833,384,9,2,724270517
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,369,332,194,4,853725137
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,77,35,6190229391
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,790,633,45,4,1050718993
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,1051,891,16,1,1798572771
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,84,55,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,3717,2821,55,1,3621432113
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,191,40,,1,1770276774
