id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
328935472,SMP147_R,,SMP147,Traced,6231,275,61,192,465,4,2309018467
390486371,SMP147(ADM10)_L,,SMP147,Traced,3155,671,317,3,313,553,2087229086
422738252,SMP178_R,,SMP178,Traced,6049,1058,3,1,28,2,2124179274
422751191,SMP177_R,,SMP177,Traced,13884,2333,7,21,20,20,3691832933
423096449,SMP007_R,aSP14d candidates,SMP007,Traced,604,334,11,37,23,36,646783743
424434994,SIP064_R,,SIP064,Traced,2762,1105,18,38,63,98,1777201692
451365099,SMP371_R,,SMP371,Traced,1796,829,6,15,98,126,1668340692
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,66,226,45,175,1542373100
483797945,SMP007_R,aSP14d candidates,SMP007,Traced,784,404,37,80,37,73,722050724
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,202,235,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,31,37,780,405,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,67,182,258,463,5638174363
514475106,SMP371_R,,SMP371,Traced,1578,758,3,8,67,98,1591467313
514958793,SMP371(PDM08)_L,,SMP371,Traced,932,500,8,24,30,32,901732203
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,1,4,252,5,3738265959
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,,1,3103732460
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,15,24,38,49,3090347718
544038123,mALD1_L,,mALD1,Traced,7276,3026,3,,3086,89,5756235469
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,27,23,153,115,661247098
546196205,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,557,230,29,32,36,40,575525624
548570973,CRE013_R,,CRE013,Traced,6593,820,289,237,731,36,2035120923
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,583,50,780,571,2008584360
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,24,7,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,227,88,43,99,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,259,130,50,79,979623989
576519520,SIP003_a_R,,SIP003_a,Traced,658,171,4,,,1,413899119
576566287,SMP008_R,aSP14a candidates,SMP008,Traced,765,356,41,106,57,95,679984196
576898212,SMP007_R,aSP14d candidates,SMP007,Traced,496,247,13,27,11,16,624956237
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,72,82,34,49,1640712084
578254032,SMP151_R,,SMP151,Traced,1731,597,50,36,40,56,1457232811
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,48,144,184,315,3043835720
579946370,SMP009_R,,SMP009,Traced,743,308,12,5,82,4,625972361
579946915,,,,Traced,288,286,2,1,8,3,296736741
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,264,23,207,144,2075693705
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,218,196,147,418,4038248023
607221569,SIP003_b_R,,SIP003_b,Traced,660,162,2,,2,1,375284285
610299911,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,626,233,45,39,80,42,616710720
610321522,SMP151_R,,SMP151,Traced,1801,578,47,46,45,49,1444829096
610571450,mAL3B_L,,mAL3B,Traced,209,97,1,,,1,265464226
610981584,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,726,323,1,6,86,7,665045439
611323175,mALB1_L,,mALB1,Traced,3606,1903,4,,66,2,3507551623
611810783,,,,Traced,186,231,10,5,10,7,219227916
612742229,CRE028_L,,CRE028,Traced,1052,237,24,19,61,25,848505865
612742298,CRE036_L,,CRE036,Traced,592,134,13,9,5,10,567524859
612742316,CRE036_L,,CRE036,Traced,536,144,2,4,,3,593417196
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,2,5,27,7,748302593
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,41,162,56,145,1102000302
639655157,SMP008_R,aSP14a candidates,SMP008,Traced,673,350,44,93,45,78,692009440
