id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,PB #post,PB #pre,#voxels
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,66,226,380,1,1542373100
575664331,IB048(PDM33)_L,CL-AtIb(b)2,IB048,Traced,741,610,219,15,,1,1058645265
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,3,,265,207,1117114642
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,41,162,618,4,1102000302
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,1,,211,193,1192481040
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,4,,301,222,1239801790
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,1,,569,50,557959797
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,2,2,157,11,690237195
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,59,193,1077,6,1049700272
852236918,ATL034(PDM32)_L,,ATL034,Traced,916,539,151,24,2,1,1285653439
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,43,200,830,1,1069803729
881458181,PFL1(PB12a)_R3_C6,PFLC,PFL1,Traced,1288,5,1,,771,2,930498996
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,67,186,635,7,1151779323
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,5,4,432,1,723546053
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,9,42,552,3,868477066
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,59,200,560,1,1366489368
942172835,PFL3(PB12c)_R4_C4,PB1-7FB1245LAL,PFL3,Traced,2327,5,1,,406,1,885694660
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,36,147,535,2,1090467478
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,53,152,572,1,1104413493
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,5,39,505,6,1127535523
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,14,16,184,18,761416202
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,17,12,173,15,745793303
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,1,,197,153,836597415
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,18,7,203,20,737078778
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,5,3,451,1,868066626
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,1,,167,171,846890948
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,10,13,235,21,704924127
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,15,11,210,20,639370086
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,48,160,907,6,1481422725
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,60,254,663,4,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,56,175,782,5,1532312771
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,43,191,560,2,1437029317
5812983764,PFR_a(PB11a)_R4_C6,PFR_a,PFR_a,Traced,1416,415,1,,75,4,471231362
5813130063,SIP081(PDM13)_L,,SIP081,Traced,557,176,51,9,1,1,516169030
