id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,bL(L) #post,bL(L) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,7262,15,4356555624
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,1,1,327,58,279368748
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,5,,4739,13,758606595
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,11,7,747,147,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,1554,243,382607989
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,2,1,837,170,324988292
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,1,1,997,184,311089027
800303089,PPL108_R,,PPL108,Traced,5875,2272,634,524,,1,2618373937
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,303,82,135248805
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,2,,84,2,2083130629
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,1,2,5331729469
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,1226,206,367958807
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,5,3,,2,786241461
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,2,,1,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,4,1,1,1,1211989816
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,1,,,1,630315706
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,5,4,2,1,1174302319
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1,1,3,1,720375603
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,5,,184,48,225739136
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,4,5,1,3,1148479791
1358007692,,,,Traced,705,63,2,,700,63,84121598
1388693159,,,,Traced,166,79,2,1,164,78,38659912
1389042768,,,,Traced,126,70,1,,125,70,33406020
1389371017,,,,Traced,115,60,1,,114,60,30605515
1390057193,,,,Traced,128,56,1,,127,56,32668507
1418351187,,,,Traced,1887,155,2,,1877,155,191965772
1419374057,,,,Traced,116,63,1,1,114,61,32406936
1419378470,,,,Traced,155,66,1,,153,64,35016509
1419715302,,,,Traced,138,67,1,,137,67,34013106
1419719325,,,,Traced,123,53,3,,120,53,23744781
1420060490,,,,Traced,104,51,4,2,100,49,29834986
1420418437,,,,Traced,124,57,2,1,122,56,28468433
1420751142,,,,Traced,113,46,1,,112,46,25388661
1449713853,,,,Traced,103,54,1,,102,54,28813989
1450404462,,,,Traced,117,56,2,1,115,55,26555235
1450745434,,,,Traced,92,52,1,1,91,51,24055709
1450750073,,,,Traced,81,36,1,1,80,35,18036735
1450767217,,,,Traced,134,61,2,2,131,59,35173393
1451436254,,,,Traced,116,53,1,,115,53,28156504
1453176009,,,,Traced,2400,56,512,12,1,1,1032341298
1480744111,,,,Traced,128,65,1,1,126,64,29394987
1480748627,,,,Traced,134,51,1,,133,51,28787907
1480761627,,,,Traced,151,63,1,,150,63,32976141
1481076904,,,,Traced,92,32,1,,91,32,19909010
1481435142,,,,Traced,93,37,1,,92,37,23255944
1481439494,,,,Traced,112,37,1,,111,37,22354817
1481802049,,,,Traced,100,48,1,1,99,47,24697152
1482121598,,,,Traced,106,48,1,,105,48,24631113
1482138691,,,,Traced,103,50,1,,102,50,24310420
1574207692,,,,Orphan,7,4,2,,4,3,1769296
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,777,576,1,1,2164861052
5812981867,,,,Traced,140,60,1,,138,60,31273582
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,6,1,8835,81,3410455915
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,59,38,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,4,1,3486100136
5813095159,,,,Traced,117,56,2,2,115,54,28240494
