id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
388954086,SMP184_R,,SMP184,Traced,2847,753,133,177,,2,2138517487
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,604,2,4356555624
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,2,1,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,1,1,12,3,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,35,29,12,8,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,31,37,2,2,4036468535
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,11,7,27,3,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,17,3,382607989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,72,82,10,9,1640712084
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,2,1,22,2,324988292
640630581,CRE058_R,,CRE058,Traced,350,160,1,2,1,2,394843136
641157199,,,,Traced,141,128,6,5,,1,234093042
641688553,CRE042_R,,CRE042,Traced,6850,1277,140,103,16,2,2405591250
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,12,11,,1,642080855
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,1906,73,259,2,2764738281
702704906,CRE058_R,,CRE058,Traced,463,147,4,2,1,2,394131167
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,105,132,170,2,1535739624
732038980,,,,Traced,56,128,4,6,1,1,128253142
767174553,CRE058_R,,CRE058,Traced,286,141,3,12,3,3,356082675
798892246,CRE058_R,,CRE058,Traced,338,167,6,8,1,3,404837069
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,13,4,135248805
829939688,CRE058_R,,CRE058,Traced,447,171,5,14,3,2,468137590
830419511,,,,Traced,263,177,2,22,3,1,257876494
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,915,208,3100,29,2272675577
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,73,85,28,10,2278694286
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,8,,216,70,294789403
1015484487,,,,Traced,623,710,30,18,,1,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,1,8,3,3,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,2,,94,1,2083130629
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,758,13,1,1,760736824
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,172,24,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,3,,84,6,2226046804
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,18,2,367958807
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,29,,3,1,265742623
1139265826,LAL075_R,L-LC(c)2,LAL075,Traced,4077,440,93,177,,2,1200070323
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,4,,2,1,266956643
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,31,1,276,114,282949058
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,5,,,1,257552610
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,,21,2,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,23,,3,1,228273943
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,9,,7,1,905540252
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,7,,12,2,917030170
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,61,44,26,5,3325948715
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,12,,9,4,211372631
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,6,1,806,4,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,19,57,3,5,3288021127
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,80,40,23,1,1631233720
5813057033,ATL037(PDM33)_L,,ATL037,Traced,1921,1043,243,21,1,1,1555658437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,48,36,3486100136
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,12,,6,6,519936683
