id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
295116205,SA1_a_R,SlpA,SA1_a,Traced,644,107,1,1,9,2,267661950
295474441,SA3_bilateral_R,SlpA,SA3,Traced,436,106,1,,35,20,261798729
295474876,SA1_b_R,SlpA,SA1_b,Traced,442,94,1,,10,6,181687369
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,2,,371,107,378275835
296851261,FB8G_R,SMPSIPFB8_2,FB8G,Traced,1243,330,1,,813,284,667890226
298944444,FB6U_R,SMPCREFB6_2,FB6U,Traced,2676,537,1,1,1789,438,1019062305
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,3576,2111,6917059458
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,157,85,26,1,1469716322
388246273,SAF(FB9)_R,SlpAF,SAF,Traced,319,64,2,,90,32,255147243
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,67,10,2128,512,1107227318
452401246,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1107,417,131,1,549,413,1079654628
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,8,4,81,110,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,45,175,2348,14,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,77,283,1092,9,1365074914
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,404,1,1581,1726,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,70,47,498,466,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,144,75,20,2,1262283600
548907426,FB4X_R,CRESIPFB45,FB4X,Traced,4862,1240,14,,2850,1235,2158696775
578936675,FB5G_R,SMPSIPFB56,FB5G,Traced,1866,460,3,,672,394,829209941
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,1101,873,1823088730
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,3,2,53,80,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,10,1,122,131,602925629
607933758,FB5Q_R,SMPCREFB5d,FB5Q,Traced,2289,499,11,1,689,420,972638780
614081151,FB5A_R,LALCREFB5,FB5A,Traced,5503,1054,1290,1,3168,1020,2383963952
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,6,7,1705,453,533161528
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,124,72,34,2,1313237477
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,56,145,2229,13,1102000302
640665331,FB5Q_R,SMPCREFB5d,FB5Q,Traced,1749,471,21,,557,394,808231401
642715622,FB2C_R,SMPCREFB2_1,FB2C,Traced,1675,305,39,1,652,295,756531675
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,50,9,2152,410,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,132,66,11,2,1249529709
666308023,PFL3(PB12c)_R1_C2_irreg,PB1-7FB1245LAL,PFL3,Traced,2985,423,104,413,2569,10,1206186971
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,2,1,2275,126,873271854
666994301,PFL3(PB12c)_R2_C1_irreg,PB1-7FB1245LAL,PFL3,Traced,2935,482,96,452,2511,4,1314789530
673746277,FB4N_R,SMPCREFB4,FB4N,Traced,6909,727,78,2,3841,715,1954346392
677182018,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1760,554,301,2,1377,551,1202233671
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,145,75,21,2,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,179,39,25,4,1281064545
