id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,#voxels
203594164,,,,Traced,1026,118,3,1,752506298
234630133,SMP184(PDL05)_L,,SMP184,Traced,2470,1075,460,434,1650479006
295116205,SA1_a_R,SlpA,SA1_a,Traced,644,107,1,1,267661950
296139882,SMP076_R,,SMP076,Traced,6704,1813,21,2,3427118784
298258513,SMP108_R,,SMP108,Traced,23289,2753,9,3,5584315251
298944444,FB6U_R,SMPCREFB6_2,FB6U,Traced,2676,537,1,1,1019062305
328601956,CRE105_R,,CRE105,Traced,1995,492,16,2,1150202676
328935472,SMP147_R,,SMP147,Traced,6231,275,465,4,2309018467
329225149,LHCENT10_R,,LHCENT10,Traced,2243,1401,19,1,2610937664
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,6917059458
330319983,CRE083_R,,CRE083,Traced,949,343,1,1,986285667
330989639,,,,Traced,160,235,68,85,266714924
356670712,FR2(FQ4)_C4_L_small,,FR2,Traced,396,115,1,4,306385656
357224041,LHPV5l1_R,,LHPV5l1,Traced,3696,1252,159,88,2184662669
358593042,SMP292_R,,SMP292,Traced,908,386,298,97,938899817
361341837,CRE083_R,,CRE083,Traced,757,274,17,1,815943339
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,157,85,1469716322
389311717,SMP188_R,,SMP188,Traced,2468,618,204,101,1411488640
390486371,SMP147(ADM10)_L,,SMP147,Traced,3155,671,313,553,2087229086
392389970,SMP153_R,,SMP153,Traced,1926,509,284,229,967291878
393063351,SMP272_R,,SMP272,Traced,3340,989,109,3,2289300784
393883499,SIP064(PDM08)_L,,SIP064,Traced,1072,999,53,87,1406906050
417221397,SMP238_R,,SMP238,Traced,1837,1162,37,47,2118638793
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,67,10,1107227318
421041565,SMP157_R,,SMP157,Traced,2309,737,32,29,1339640338
422738252,SMP178_R,,SMP178,Traced,6049,1058,28,2,2124179274
422751191,SMP177_R,,SMP177,Traced,13884,2333,20,20,3691832933
423096449,SMP007_R,aSP14d candidates,SMP007,Traced,604,334,23,36,646783743
423101189,oviIN_R,,oviIN,Traced,23029,6863,1775,16,10033593370
424434994,SIP064_R,,SIP064,Traced,2762,1105,63,98,1777201692
425121937,SMP137_R,,SMP137,Traced,1236,322,169,17,781708043
448342846,CRE075_R,,CRE075,Traced,6837,880,34,16,3305148308
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,160,80,1356917252
449975227,SMP293_R,,SMP293,Traced,845,395,197,59,850584484
451365099,SMP371_R,,SMP371,Traced,1796,829,98,126,1668340692
452401246,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1107,417,131,1,1079654628
452742028,SMP457_R,,SMP457,Traced,4033,164,122,5,1550731579
453087379,SIP004_R,,SIP004,Traced,3573,667,683,428,1510043297
453536432,SMP089(ADM04)_L,,SMP089,Traced,1403,786,1,8,1780742375
455129365,SIP086_R,,SIP086,Traced,907,627,13,3,1544975164
455154890,SMP155_R,CSmSi-(AoIb)(i)Si(c),SMP155,Traced,3683,579,44,2,1927715509
455155337,SMP152_R,,SMP152,Traced,1942,697,21,19,1726731677
455470212,PLP048_R,,PLP048,Traced,209,59,1,4,238126954
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,8,4,549640572
479260891,SMP595(SCB059)_R,,SMP595,Traced,3912,676,11,1,1806041908
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,45,175,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,77,283,1365074914
482732443,LHAV6c1_R,,LHAV6c1,Traced,449,142,61,30,308199077
482754144,SMP584_R,WplL-Sm,SMP584,Traced,1255,349,267,74,814375452
483797945,SMP007_R,aSP14d candidates,SMP007,Traced,784,404,37,73,722050724
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,2489431605
