id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,3,3,6917059458
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,157,85,265,213,1469716322
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,67,10,174,23,1107227318
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,160,80,331,204,1356917252
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,8,4,373,50,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,45,175,380,1,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,77,283,712,2,1365074914
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,144,75,257,207,1262283600
542751938,DNp44_R,LHPV9a1 (Frechter et al. eLife 2019),DNp44,Traced,753,182,1,,,1,1686996566
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,180,93,312,244,1495976797
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,3,2,132,35,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,10,1,443,47,602925629
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,6,7,59,2,533161528
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,124,72,356,227,1313237477
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,56,145,618,4,1102000302
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,50,9,194,20,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,132,66,275,212,1249529709
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,2,1,214,13,873271854
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,145,75,271,222,1290354899
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,138,61,316,192,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,4,,39,18,5702733325
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,52,9,118,3,1097656982
727376283,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1578,447,5,13,60,1,550647258
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,128,76,215,195,1367317453
788461444,PFGs(PB10)_L6_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2567,391,22,5,143,6,992956241
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,127,65,203,183,871873631
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,3,7,86,3,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,140,67,212,184,1177122514
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,122,419,582,1,1194392560
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,156,89,253,202,1242575632
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,51,176,1077,6,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,93,433,641,1,1238365051
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,99,331,283,2,981759380
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,1,,280,2,387127398
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,81,186,830,1,1069803729
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,71,304,429,2,707899812
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,179,108,625,9,720534350
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,62,155,635,7,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,56,296,508,1,1432354774
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,55,259,618,1,1118569527
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,81,328,307,1,860588162
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,50,254,423,5,1241067076
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,2,1,362,33,382389771
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,121,64,321,217,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,132,63,231,186,961831095
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,14,5,766,54,631785776
