id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,9,3,6,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,14,13,6917059458
425790257,APL_R,,APL,Traced,127151,16190,2,,10116,1262,23360457066
448342846,CRE075_R,,CRE075,Traced,6837,880,34,16,6,3,3305148308
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,3,,18,5,5135386763
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,21,3,4036468535
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,5,,2108,892,1948744287
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,1415,941,4,1,3839917924
576825965,OA-VUMa7_R,,OA-VUMa7,Traced,4992,5253,247,222,4,6,3775336014
579912201,LHCENT5_R,,LHCENT5,Traced,3042,992,9,,12,3,2301471871
609656444,SMP143_R,Tdc2 (OA)-ASM candidates,SMP143,Traced,2955,1680,15,,,3,2084093642
611629428,CRE077_R,,CRE077,Traced,4028,748,31,2,8,1,1769946727
613083375,CRE032_L,,CRE032,Traced,918,233,8,14,52,1,653637060
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,89,1,1295,6,4367730421
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,2619,199,1,1,5225476639
672006007,CRE053_R,,CRE053,Traced,545,182,10,35,,1,410472425
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,3,1,586,5,483565747
674100160,CRE052_R,,CRE052,Traced,1147,222,48,3,5,2,443257839
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,4,,2,1,5702733325
736839651,CRE057_R,,CRE057,Traced,505,186,1,,1,3,297120213
768884949,CRE057_R,,CRE057,Traced,907,211,23,1,7,8,340459302
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,2,,50,36,4762453854
816276925,KCg-m_R,,KCg-m,Traced,818,259,2,1,5,2,342972796
854883067,CRE014_R,,CRE014,Traced,642,208,85,36,,1,537210766
859265651,PPL107_R,,PPL107,Traced,12366,5040,39,1,4,2,3767188818
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,438,442,4979,43,2722993954
1265399790,,,,Traced,96,162,13,14,,1,769118726
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,,1,6190229391
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,638,442,3,1,3325948715
5813009620,SMP109_R,,SMP109,Traced,6129,1399,111,172,,1,2742026328
5813019850,CRE048_R,,CRE048,Traced,5674,1107,208,19,27,5,2306300526
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,2837,682,5444071374
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,9,10,3486100136
5813105172,DPM_R,,DPM,Traced,77269,17628,1,,9585,2307,15191654896
5901213440,CRE011_R,,CRE011,Traced,19674,2149,1724,648,69,6,5844952800
