id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,bL(L) #post,bL(L) #pre,#voxels
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,3,2,399312668
693927941,ALIN1_R,,ALIN1,Traced,1553,406,20,,147,37,2113783525
800303089,PPL108_R,,PPL108,Traced,5875,2272,646,491,,1,2618373937
984799284,CRE060_R,,CRE060,Traced,844,393,298,10,,1,738647628
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,1,2,5331729469
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,2,1,1174302319
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,2,1,1,3,1148479791
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,88,29,6190229391
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,753,671,1,1,2164861052
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,1,2,,1,2685199565
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,11,,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,4,1,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,11,,11148,221,2038784377
