id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,365,105,686693145
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,606,125,476702093
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,538,94,488272608
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,228,43,331399103
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,516,133,549640572
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,505,130,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,474,133,801363719
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,809,341,3103732460
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,388,89,603871773
539810773,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,585,102,249,40,300703583
540493022,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,594,125,311,52,295161410
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,292,53,347051058
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,454,68,506958053
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,358,92,777549043
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,515,74,519425583
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,330,98,980591420
570518166,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,520,147,284,41,414900048
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,132,32,190747929
572166953,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,213,54,113,24,176173193
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,122,30,161518101
572167413,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,296,70,164,32,177049794
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,524,112,410291839
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,403,177,1823088730
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,473,139,324848103
601216096,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,470,116,244,44,313061051
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,366,99,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,552,147,602925629
632155800,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,1042,258,609,146,458330645
632229278,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1425,294,456,79,651552729
632259507,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,148,48,96,23,124912295
632600726,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,492,99,312,39,218388914
632911211,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,584,96,308,39,251718573
632915714,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,626,95,372,37,246213024
633200861,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,153,38,82,15,117650327
633200871,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,159,43,102,22,147362152
633200987,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,191,54,103,27,154184461
633201022,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,167,47,93,20,138906992
633541717,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,143,36,97,14,133694712
633895972,PFNm_b(PB02b)_R3_C8,PFNm_b,PFNm_b,Traced,552,131,176,34,288254893
633943192,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1133,197,405,75,471084398
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,747,151,1013921359
662840966,PFNm_b(PB02b)_R6_C5,PFNm_b,PFNm_b,Traced,372,83,148,30,169771582
