id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,LAL(R) #post,LAL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,59,47,6917059458
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,265,213,157,85,1469716322
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,174,23,67,10,1107227318
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,331,204,160,80,1356917252
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,373,50,8,4,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,380,1,45,175,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,712,2,77,283,1365074914
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,257,207,144,75,1262283600
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,312,244,180,93,1495976797
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,132,35,3,2,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,443,47,10,1,602925629
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,59,2,6,7,533161528
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,356,227,124,72,1313237477
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,618,4,56,145,1102000302
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,194,20,50,9,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,275,212,132,66,1249529709
666308023,PFL3(PB12c)_R1_C2_irreg,PB1-7FB1245LAL,PFL3,Traced,2985,423,306,,104,413,1206186971
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,214,13,2,1,873271854
666572081,IB048_R,CL-AtIb(b)2,IB048,Traced,2773,648,2,,1574,39,1596136841
666994301,PFL3(PB12c)_R2_C1_irreg,PB1-7FB1245LAL,PFL3,Traced,2935,482,316,,96,452,1314789530
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,271,222,145,75,1290354899
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,316,192,138,61,1220895242
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,118,3,52,9,1097656982
727376283,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1578,447,60,1,5,13,550647258
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,215,195,128,76,1367317453
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,352,,74,224,1535167929
788461444,PFGs(PB10)_L6_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2567,391,143,6,22,5,992956241
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,203,183,127,65,871873631
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,86,3,3,7,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,212,184,140,67,1177122514
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,582,1,122,419,1194392560
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,253,202,156,89,1242575632
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1077,6,51,176,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,641,1,93,433,1238365051
851110676,LAL148_R,,LAL148,Traced,995,206,3,,49,80,628388045
851114700,ATL044_R,,ATL044,Traced,1303,467,3,,117,272,1108783024
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,283,2,99,331,981759380
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,830,1,81,186,1069803729
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,879,,149,101,708615708
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,429,2,71,304,707899812
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,625,9,179,108,720534350
882144985,IB005_R,,IB005,Traced,2133,702,1,,379,287,1521696579
882200934,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1797,550,70,,1,2,575096041
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,635,7,62,155,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,508,1,56,296,1432354774
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,618,1,55,259,1118569527
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,307,1,81,328,860588162
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,423,5,50,254,1241067076
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,362,33,2,1,382389771
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,321,217,121,64,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,231,186,132,63,961831095
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,766,54,14,5,631785776
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,633,1,112,435,1310859231
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,560,1,50,207,1366489368
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,374,2,106,477,1137135613
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,1051,2,163,108,737594409
943921162,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1588,471,85,2,,1,571821666
