id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,3,,9,3,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,59,47,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,2,,37,47,2118638793
484821546,SMP586_R,,SMP586,Traced,2205,504,1,,47,74,1433691715
487187476,SIP087_R,,SIP087,Traced,10957,3440,7,1,780,405,4036468535
508689623,CRE074_R,,CRE074,Traced,5672,1362,1,,573,214,5376151826
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,5,,1415,941,3839917924
542376096,SMP237_R,LCPl-SmSi,SMP237,Traced,4489,994,2,,352,25,2106891458
548575149,CRE087_R,,CRE087,Traced,1290,328,3,,48,2,949124966
570742599,KCg-m_R,,KCg-m,Traced,800,259,1,,2,2,409027498
581678043,CRE051_R,,CRE051,Traced,1335,185,8,,6,1,433534708
611323175,mALB1_L,,mALB1,Traced,3606,1903,1,,66,2,3507551623
611629428,CRE077_R,,CRE077,Traced,4028,748,1,,31,2,1769946727
612703762,CRE052_R,,CRE052,Traced,1198,190,1,1,3,3,498092715
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,,1,1,360958036
641709938,SMP112_R,,SMP112,Traced,894,283,1,,50,43,442792479
643739027,CRE052_R,,CRE052,Traced,1131,192,4,,56,6,430341174
644433538,SMP015_R,,SMP015,Traced,1112,557,1,,154,204,1134835911
662802782,KCg-m_R,,KCg-m,Traced,821,234,2,,,1,343032811
674100160,CRE052_R,,CRE052,Traced,1147,222,3,,48,3,443257839
701371011,SMP370_R,,SMP370,Traced,1736,699,1,,261,316,2101402424
706508078,SMP112_R,,SMP112,Traced,1448,254,2,,35,89,437401471
706840303,CRE051_R,,CRE051,Traced,1123,187,4,,5,6,468329707
725200110,KCg-m_R,,KCg-m,Traced,685,237,1,,,1,350777909
735488299,LAL022_R,C-LSm,LAL022,Traced,2492,497,1,,1008,202,1085054100
736173896,CRE052_R,,CRE052,Traced,802,217,5,,19,2,365340763
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,7,,851,7,5261473419
795135527,LAL034_R,,LAL034,Traced,1035,245,1,,630,179,420453129
799249679,CRE092_R,pMP6a candidates,CRE092,Traced,773,283,3,,33,1,735601613
800273538,CRE055_R,,CRE055,Traced,855,208,9,,14,2,342115028
816276925,KCg-m_R,,KCg-m,Traced,818,259,2,,2,1,342972796
829572451,KCab-c_R,,KCab-c,Traced,364,147,142,62,1,1,205049129
847254536,KCab-m_R,,KCab-m,Traced,534,199,208,92,,1,162721568
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,10,,438,442,2722993954
894702888,LAL013_R,,LAL013,Traced,2190,934,1,,1204,284,1654988582
954053018,KCab-c_R,,KCab-c,Traced,468,158,178,69,1,1,241045676
978336888,AOTU046_R,,AOTU046,Traced,1958,713,1,,9,8,1774175847
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,3,2,,1,444926933
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,1,,5708,231,3708849906
1141346308,KCg-m_R,,KCg-m,Traced,752,202,1,1,2,1,350472783
1141972202,KCg-m_R,,KCg-m,Traced,815,267,5,2,1,2,420915787
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,3,2,6190229391
1419909152,LAL011_R,,LAL011,Traced,2688,575,1,,1861,311,1268705377
1603757560,LAL041_R,aSP3 candidates,LAL041,Traced,6559,166,1,,3446,83,2529645015
1666561406,LAL015_R,,LAL015,Traced,2467,821,1,,1779,664,1689810440
1914460817,VES079_R,,VES079,Traced,1323,550,2,,446,195,1108172940
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,1,1,638,442,3325948715
5812983423,KCab-m_R,,KCab-m,Traced,560,196,217,82,1,1,263403128
5813009620,SMP109_R,,SMP109,Traced,6129,1399,2,,111,172,2742026328
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,2,75,13,2864745122
5813050820,KCab-m_R,,KCab-m,Traced,554,187,188,72,,1,254323816
5813054053,OA-ASM3_R,,OA-ASM3,Traced,3158,1823,1,,3,1,2755864037
5813057956,KCg-m_R,,KCg-m,Traced,772,230,1,1,1,1,356908730
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,4,,165,21,3621432113
5901213440,CRE011_R,,CRE011,Traced,19674,2149,2,,1724,648,5844952800
