id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,162,68,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,206,60,549779297
300968622,KCab-m_R,,KCab-m,Traced,511,193,198,81,279723087
300972942,MBON14(a3)_R,,MBON14,Traced,13634,543,13271,17,1566415099
301309622,KCab-c_R,,KCab-c,Traced,358,142,135,61,133670973
301314150,KCab-c_R,,KCab-c,Traced,528,179,182,82,271031858
301314154,KCab-c_R,,KCab-c,Traced,415,156,130,60,139037136
301314208,KCab-c_R,,KCab-c,Traced,411,148,140,62,242376591
301318641,KCab-c_R,,KCab-c,Traced,437,177,180,73,237234042
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,215,54,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,130,39,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,6917059458
330268940,LHCENT9_R,,LHCENT9,Traced,12428,2654,6,6,3801815677
331662668,KCab-m_R,,KCab-m,Traced,530,216,205,108,283368182
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,4477,1042,2855596370
331662717,KCab-s_R,,KCab-s,Traced,630,224,212,97,287565290
331999156,KCab-c_R,,KCab-c,Traced,568,159,195,65,241428851
331999213,KCab-s_R,,KCab-s,Traced,614,220,244,102,291645899
332003372,KCab-c_R,,KCab-c,Traced,395,161,173,72,122162962
332003629,KCab-m_R,,KCab-m,Traced,514,192,227,90,253736233
332003730,KCab-c_R,,KCab-c,Traced,353,139,172,67,103432112
332003895,KCab-m_R,,KCab-m,Traced,410,195,209,99,127517438
332003899,KCab-c_R,,KCab-c,Traced,324,128,153,60,105484035
332007728,KCab-m_R,,KCab-m,Traced,506,195,184,82,277872366
332008063,KCab-m_R,,KCab-m,Traced,560,194,234,85,294635155
332008082,KCab-m_R,,KCab-m,Traced,531,195,218,94,177708912
332340127,KCab-s_R,,KCab-s,Traced,549,226,227,111,313331158
332340236,KCab-m_R,,KCab-m,Traced,521,208,217,94,266377828
332344539,KCab-c_R,,KCab-c,Traced,320,128,112,55,234057501
332344592,KCab-c_R,,KCab-c,Traced,398,149,146,58,240960634
