id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
297230760,5-HTPMPD01_R,,5-HTPMPD01,Traced,4749,1660,1,,1,1,2406556060
298258513,SMP108_R,,SMP108,Traced,23289,2753,3,,6,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,14,13,6917059458
330268940,LHCENT9_R,,LHCENT9,Traced,12428,2654,6,6,22,3,3801815677
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,4477,1042,15,3,2855596370
332340127,KCab-s_R,,KCab-s,Traced,549,226,227,111,1,1,313331158
333030976,KCab-m_R,,KCab-m,Traced,584,202,255,95,,1,283536655
362041442,SIP019_R,,SIP019,Traced,1271,368,1,,7,1,772174030
362701969,KCab-s_R,,KCab-s,Traced,622,232,229,103,8,2,333622355
363030040,KCab-s_R,,KCab-s,Traced,641,229,282,126,3,1,313793782
394060620,KCab-s_R,,KCab-s,Traced,606,214,208,100,4,2,307349594
394081878,KCab-s_R,,KCab-s,Traced,605,228,257,112,1,1,354685350
394427392,KCab-s_R,,KCab-s,Traced,650,247,221,109,1,1,248847423
394764082,KCab-m_R,,KCab-m,Traced,541,212,178,78,5,2,308206119
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,2037,513,38,18,3157840413
423748579,LHPV10d1_R,,LHPV10d1,Traced,5206,1622,2,,5,2,2059917114
423774471,MBON19(a2p3p)_R,,MBON19,Traced,1484,299,763,7,417,2,629332084
424754530,KCab-s_R,,KCab-s,Traced,612,241,250,111,,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,42,25,4356555624
425086839,KCab-p_R,,KCab-p,Traced,623,278,199,101,,1,248480964
425086851,KCab-p_R,,KCab-p,Traced,737,269,253,96,3,3,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,69,21,36,2,1773011190
425112506,KCab-s_R,,KCab-s,Traced,628,266,272,119,1,1,308889289
425436170,KCab-m_R,,KCab-m,Traced,566,202,221,93,,1,263682119
425768768,KCab-s_R,,KCab-s,Traced,609,237,211,106,1,2,355693478
425768822,KCab-s_R,,KCab-s,Traced,719,254,241,111,,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,14634,1644,10116,1262,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,212,94,3,3,271653563
456467162,KCab-p_R,,KCab-p,Traced,574,248,167,96,,1,332313427
457175171,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2109,270,9,,1269,19,502230847
457196643,MBON16-like(a'3a)_R,,MBON28,Traced,3753,389,8,,2314,5,964698539
477861840,KCab-p_R,,KCab-p,Traced,723,243,182,84,2,2,422024205
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,41,17,132,71,404232661
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,3,3,18,5,5135386763
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,30,13,170,79,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,7,1,21,3,4036468535
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,1,1,145,87,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,1,2,144,73,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,4,2,137,80,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,195,72,3,1,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,15,6,186,94,448221441
508939879,KCg-m_R,,KCg-m,Traced,679,237,1,,54,23,391159969
509928512,LHPD2b1_a_R,ML8 (Jeanne et al. Neuron 2018),LHPD2b1_a,Traced,727,189,2,,17,6,547945845
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,2,3,156,97,410542571
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,17,7,2108,892,1948744287
517514588,SMP443_R,,SMP443,Traced,3779,468,1,,28,2,1001591613
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,14,20,1964048244
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,6,4,200,93,451451628
