id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(L) #post,bL(L) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,162,68,145,48,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,206,60,232,63,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,215,54,318,79,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,1,543,157,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,130,39,271,76,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,71,17,142,48,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,4,,478,145,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,82,37,73,34,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,7262,15,4356555624
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,22,4,274,76,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,592,167,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,632,209,4,1,555872978
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,492,166,3,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,437,143,5,1,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,239,48,1964048244
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,559,177,3,2,399312668
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1,1,310,89,434243909
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,50,9,213,78,251389374
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,144,36,97,35,357006298
767494105,KCab-p_R,,KCab-p,Traced,633,218,154,62,57,26,365582357
1016805008,KCab-p_R,,KCab-p,Traced,703,242,194,71,81,37,378892564
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,551,166,2,1,327454873
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,676,193,,2,551823489
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,555,195,5,1,339562986
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,952,260,2,2,659070629
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,1,,502,146,513933742
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,88,29,6190229391
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,128,46,55,30,431109241
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,513,176,2,4,502377982
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,326,133,5,2,248528210
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,338,83,276,74,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,148,80,44,19,392247819
