id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,206,60,7,3,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,215,54,6,3,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,1,3,5,766273281
328611004,LHPV5e1_R,,LHPV5e1,Traced,10796,1573,13,,3,1,2647663694
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,19,14,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,71,17,10,3,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,4,,5,2,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,82,37,8,1,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,604,2,4356555624
425790257,APL_R,,APL,Traced,127151,16190,14634,1644,677,145,23360457066
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,22,4,18,1,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,13,7,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,193,96,38,27,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,632,209,4,2,555872978
487187476,SIP087_R,,SIP087,Traced,10957,3440,7,1,2,2,4036468535
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,492,166,17,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,437,143,16,5,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,40,71,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,26,10,36,12,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,20,6,61,25,437355377
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,559,177,17,9,399312668
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1,1,4,1,434243909
641688553,CRE042_R,,CRE042,Traced,6850,1277,1,,16,2,2405591250
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,1,,1,1,362337911
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,6,6,80,34,409839983
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,50,9,19,1,251389374
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,234,137,11,6,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,154,62,11,3,365582357
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,432,166,22,6,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,481,172,20,8,307010567
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,551,166,11,4,327454873
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,172,24,4211579375
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,676,193,17,4,551823489
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,555,195,17,5,339562986
1170322501,PAM06_a(B'2m)_R,,PAM06_a,Traced,1190,304,1,,224,110,419481355
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,952,260,15,3,659070629
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,1,,19,2,513933742
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,8,9,6190229391
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,128,46,4,1,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,1,1,26,5,3325948715
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,513,176,10,3,502377982
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,138,1,869209965
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,326,133,11,3,248528210
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,2,13,21,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,20,4,61,13,5444071374
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,20,5,96,32,427955175
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,2,2,93,51,338596004
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,338,83,12,3,547363626
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,5,2,37,14,442358082
5813091744,KCab-p_R,,KCab-p,Traced,635,285,148,80,8,2,392247819
