id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,162,68,15,5,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,206,60,15,10,549779297
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,1,11,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,130,39,8,4,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,21,21,6917059458
333035349,KCab-s_R,,KCab-s,Traced,526,212,194,98,2,1,254599892
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,71,17,26,7,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,4,,14,5,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,82,37,44,8,377339671
363047222,KCab-s_R,,KCab-s,Traced,631,266,229,119,,1,336290357
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,67,11,4,1,5117109108
394427392,KCab-s_R,,KCab-s,Traced,650,247,221,109,4,4,248847423
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,2037,513,329,36,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,250,111,8,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,69,21,8,1,1773011190
425790257,APL_R,,APL,Traced,127151,16190,14634,1644,11254,1515,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,212,94,4,2,271653563
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,22,4,4,2,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,12,9,846161332
456121649,KCab-s_R,,KCab-s,Traced,555,221,200,113,2,1,309280336
456462835,KCab-p_R,,KCab-p,Traced,646,277,206,104,7,3,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,255,115,9,1,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,167,96,5,3,332313427
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,193,96,15,8,371345136
477861840,KCab-p_R,,KCab-p,Traced,723,243,182,84,17,4,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,632,209,10,5,555872978
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,41,17,319,125,404232661
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,30,13,270,111,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,7,1,26,3,4036468535
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,1,1,393,189,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,1,2,312,149,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,4,2,326,150,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,195,72,4,1,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,15,6,319,129,448221441
508939879,KCg-m_R,,KCg-m,Traced,679,237,1,,144,53,391159969
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,492,166,15,3,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,437,143,22,5,428816755
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,2,3,305,136,410542571
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,11,26,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,181,89,13,3,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,6,4,298,119,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,185,79,16,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,8,4,306,103,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,22,9,308,122,408741628
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,2,,320,145,418664355
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,4,2,313,171,435315429
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,1,,360,164,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,4,359,163,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,216,88,2,1,350846940
519573128,KCab-p_R,,KCab-p,Traced,728,249,248,99,8,1,360265700
539975122,KC(incomplete?),,,Traced,671,213,1,,227,90,394579982
