id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
296139882,SMP076_R,,SMP076,Traced,6704,1813,4,,21,2,3427118784
298258513,SMP108_R,,SMP108,Traced,23289,2753,6,4,9,3,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,59,47,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,2,,37,47,2118638793
422751191,SMP177_R,,SMP177,Traced,13884,2333,16,,20,20,3691832933
448342846,CRE075_R,,CRE075,Traced,6837,880,6,3,34,16,3305148308
452742028,SMP457_R,,SMP457,Traced,4033,164,6,,122,5,1550731579
487187476,SIP087_R,,SIP087,Traced,10957,3440,21,3,780,405,4036468535
508689623,CRE074_R,,CRE074,Traced,5672,1362,1,,573,214,5376151826
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,4,1,1415,941,3839917924
542376096,SMP237_R,LCPl-SmSi,SMP237,Traced,4489,994,7,,352,25,2106891458
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,10,,325,61,2406294739
576825965,OA-VUMa7_R,,OA-VUMa7,Traced,4992,5253,4,6,247,222,3775336014
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,3,,512,54,1823088730
581678043,CRE051_R,,CRE051,Traced,1335,185,3,,6,1,433534708
610571450,mAL3B_L,,mAL3B,Traced,209,97,1,,,1,265464226
611629428,CRE077_R,,CRE077,Traced,4028,748,8,1,31,2,1769946727
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1,,13,4,665934503
613083375,CRE032_L,,CRE032,Traced,918,233,52,1,8,14,653637060
613719036,MBON10(B'1)_R,,MBON10,Traced,1254,198,3,,5,1,380870360
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,2,,490,61,2934178330
642387775,SIP023_R,,SIP023,Traced,1865,323,20,,107,84,814132802
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,1295,6,89,1,4367730421
643739027,CRE052_R,,CRE052,Traced,1131,192,3,,56,6,430341174
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,2,,23,35,795100404
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,1,1,2619,199,5225476639
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,586,5,3,1,483565747
674100160,CRE052_R,,CRE052,Traced,1147,222,5,2,48,3,443257839
734088804,LAL037_R,,LAL037,Traced,752,191,7,,298,68,319479807
736140238,CRE080_R,pMP6b candidates,CRE080,Traced,1128,245,9,,41,4,854691700
736174181,CRE006_R,,CRE006,Traced,1166,492,2,,79,47,1201102363
764817903,SMP111_R,,SMP111,Traced,1134,277,1,,61,54,513493542
767904550,CRE021_R,aSP14e candidates,CRE021,Traced,3506,794,2,,281,25,2045947305
768884949,CRE057_R,,CRE057,Traced,907,211,7,8,23,1,340459302
769191110,AOTU021_R,,AOTU021,Traced,722,161,1,,7,13,553591426
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,7,,851,7,5261473419
796836697,CRE055_R,,CRE055,Traced,968,235,3,,29,4,394150100
798892246,CRE058_R,,CRE058,Traced,338,167,1,,12,38,404837069
