id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,bL(R) #post,bL(R) #pre,#voxels
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,,1155,333,766273281
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,6,8,6917059458
332340127,KCab-s_R,,KCab-s,Traced,549,226,1,1,130,68,313331158
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,197,75,377339671
362697657,KCab-s_R,,KCab-s,Traced,601,210,8,,178,72,313058417
362701969,KCab-s_R,,KCab-s,Traced,622,232,8,2,197,83,333622355
363030040,KCab-s_R,,KCab-s,Traced,641,229,3,1,150,59,313793782
393404592,SMP127_R,,SMP127,Traced,2570,648,7,,3,9,1245001681
393736822,KCab-m_R,,KCab-m,Traced,610,210,2,,201,90,243629778
394060620,KCab-s_R,,KCab-s,Traced,606,214,4,2,212,85,307349594
394081878,KCab-s_R,,KCab-s,Traced,605,228,1,1,163,68,354685350
394427392,KCab-s_R,,KCab-s,Traced,650,247,1,1,165,85,248847423
394764082,KCab-m_R,,KCab-m,Traced,541,212,5,2,174,82,308206119
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,38,18,17924,199,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,10037,18,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,3,3,250,88,382647663
425112506,KCab-s_R,,KCab-s,Traced,628,266,1,1,191,95,308889289
425431837,KCab-s_R,,KCab-s,Traced,606,235,2,,163,77,248439472
425768768,KCab-s_R,,KCab-s,Traced,609,237,1,2,160,84,355693478
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,14938,1215,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,3,3,196,85,271653563
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,4,,1134,335,846161332
456462919,KCab-p_R,,KCab-p,Traced,633,245,1,,192,82,354321563
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,174,92,5,2,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,2,2,289,91,422024205
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,132,71,3,4,404232661
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,1,,5606,6,1630842748
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,137,80,5,1,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,3,1,217,75,346345890
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,222,34,1964048244
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,192,93,,1,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,7,,204,81,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,200,93,6,4,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,12,5,270,93,415425333
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,103,56,29,1,408741628
518873604,KCab-s_R,,KCab-s,Traced,633,215,1,1,208,81,300234023
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,143,81,2,1,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,8,1,177,80,350846940
542371432,KCab-p_R,,KCab-p,Traced,691,271,13,1,244,95,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,127,58,6,3,387116321
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,171,69,3,2,321780254
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,168,61,15,4,370237636
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,164,88,,1,415488258
549571627,KCab-p_R,,KCab-p,Traced,742,260,4,1,294,104,368796696
573065577,KCab-p_R,,KCab-p,Traced,669,256,10,7,242,72,379155378
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,143,75,4,3,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,137,57,8,2,417324948
