id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,,11,1,766273281
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,21,21,6917059458
360284300,LHCENT8_R,,LHCENT8,Traced,1953,1942,11,7,8,1,2878888552
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,44,8,377339671
361312808,SMP503_R,,SMP503,Traced,6751,2857,1,,5,1,3604127635
393404592,SMP127_R,,SMP127,Traced,2570,648,7,,12,29,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,1,,4,1,5117109108
394427392,KCab-s_R,,KCab-s,Traced,650,247,1,1,4,4,248847423
415511327,KCg-m_R,,KCg-m,Traced,791,213,2,2,4,1,357755854
416189500,KCg-m_R,,KCg-m,Traced,835,254,1,1,4,2,361575893
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,38,18,329,36,3157840413
422751191,SMP177_R,,SMP177,Traced,13884,2333,16,,17,5,3691832933
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,36,2,8,1,1773011190
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,11254,1515,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,3,3,4,2,271653563
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,4,,12,9,846161332
456462919,KCab-p_R,,KCab-p,Traced,633,245,1,,9,1,354321563
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,174,92,307,131,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,2,2,17,4,422024205
