id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,aL(R) #post,aL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,145,48,162,68,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,232,63,206,60,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,318,79,215,54,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,543,157,3,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,271,76,130,39,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,142,48,71,17,434301483
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,73,34,82,37,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,651,177,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,2,1,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,5,,69,21,1773011190
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,274,76,22,4,348888419
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,193,96,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,1,632,209,555872978
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,3,2,492,166,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,5,1,437,143,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,119,30,1964048244
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,3,2,559,177,399312668
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,310,89,1,1,434243909
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,213,78,50,9,251389374
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,97,35,144,36,357006298
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,1,,234,137,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,57,26,154,62,365582357
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,3,,432,166,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,3,,481,172,307010567
1016805008,KCab-p_R,,KCab-p,Traced,703,242,81,37,194,71,378892564
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,2,1,551,166,327454873
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,1,555,195,339562986
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,2,2,952,260,659070629
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,83,23,6190229391
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,55,30,128,46,431109241
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,2,4,513,176,502377982
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,5,2,326,133,248528210
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,276,74,338,83,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,44,19,148,80,392247819
