id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,503,137,3,2,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,232,63,7,3,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,318,79,6,3,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,543,157,3,5,766273281
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,142,48,10,3,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,478,145,5,2,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,73,34,8,1,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,604,2,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,5333,1048,6728,1648,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,153,38,4,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,274,76,18,1,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,592,167,13,7,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,38,27,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,1,4,2,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,327,58,12,3,279368748
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,5,,16106,129,3979007410
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,3,2,17,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,5,1,16,5,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,40,71,1964048244
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,673,214,22,4,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,747,147,27,3,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,1554,243,17,3,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1454,296,12,2,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,3,2,17,9,399312668
