id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,4,11,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,352,77,1,1,279368748
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,449,109,11,7,307715800
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,394,101,2,1,324988292
644450565,CRE005_R,,CRE005,Traced,1857,858,1,,28,49,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,1,,15,78,1701061495
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,624,125,1,1,311089027
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,1,,25,1,1511191160
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,191,55,4,3,135248805
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,59,76,2722993954
1015143077,CRE024_L,,CRE024,Traced,4924,969,258,,5,3,1768786393
1112436285,,,,Traced,376,677,1,,139,213,490334249
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,1,,3,2,736880426
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1,,,1,1055943440
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,5,4,1174302319
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,1,,213,399,2323036998
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,,1,6190229391
1504207129,LAL199_R,,LAL199,Traced,458,471,1,,32,46,987660334
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,1,,376,61,1138502686
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7725,12,6,1,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,19,57,3288021127
