id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,14,13,6917059458
332340127,KCab-s_R,,KCab-s,Traced,549,226,130,68,1,1,313331158
333030976,KCab-m_R,,KCab-m,Traced,584,202,124,58,,1,283536655
362701969,KCab-s_R,,KCab-s,Traced,622,232,197,83,8,2,333622355
363030040,KCab-s_R,,KCab-s,Traced,641,229,150,59,3,1,313793782
394060620,KCab-s_R,,KCab-s,Traced,606,214,212,85,4,2,307349594
394081878,KCab-s_R,,KCab-s,Traced,605,228,163,68,1,1,354685350
394427392,KCab-s_R,,KCab-s,Traced,650,247,165,85,1,1,248847423
394764082,KCab-m_R,,KCab-m,Traced,541,212,174,82,5,2,308206119
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,17924,199,38,18,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,157,77,,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,10037,18,42,25,4356555624
425086839,KCab-p_R,,KCab-p,Traced,623,278,192,82,,1,248480964
425086851,KCab-p_R,,KCab-p,Traced,737,269,250,88,3,3,382647663
425112506,KCab-s_R,,KCab-s,Traced,628,266,191,95,1,1,308889289
425436170,KCab-m_R,,KCab-m,Traced,566,202,154,67,,1,263682119
425768768,KCab-s_R,,KCab-s,Traced,609,237,160,84,1,2,355693478
425768822,KCab-s_R,,KCab-s,Traced,719,254,248,89,,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,14938,1215,10116,1262,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,196,85,3,3,271653563
456467162,KCab-p_R,,KCab-p,Traced,574,248,172,76,,1,332313427
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,5,2,174,92,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,289,91,2,2,422024205
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,3,4,132,71,404232661
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,5,,18,5,5135386763
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,6,,170,79,432706975
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,5,1,137,80,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,217,75,3,1,346345890
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,14,20,1964048244
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,6,4,200,93,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,270,93,12,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,,165,94,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,29,1,103,56,408741628
518873604,KCab-s_R,,KCab-s,Traced,633,215,208,81,1,1,300234023
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,2,1,143,81,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,177,80,8,1,350846940
542371432,KCab-p_R,,KCab-p,Traced,691,271,244,95,13,1,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,6,3,127,58,387116321
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,3,2,171,69,321780254
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,1,,200,92,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,15,4,168,61,370237636
549571627,KCab-p_R,,KCab-p,Traced,742,260,294,104,4,1,368796696
573065577,KCab-p_R,,KCab-p,Traced,669,256,242,72,10,7,379155378
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,4,3,143,75,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,8,2,137,57,417324948
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,1,2,134,81,452235552
600365719,KCab-p_R,,KCab-p,Traced,657,271,237,90,2,2,366582664
611304789,KCab-s_R,,KCab-s,Traced,587,240,185,84,2,1,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,243,90,6,2,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,210,81,5,3,368031615
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,12,5,161,68,405985069
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,2,164,83,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,230,82,10,5,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,2,3,157,85,440563976
642680826,KCab-p_R,,KCab-p,Traced,670,262,221,81,4,2,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,238,95,10,5,398461486
643363111,KCab-s_R,,KCab-s,Traced,619,253,179,81,2,2,340653450
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,6,2,136,66,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,3,1,158,84,368237390
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,3,3,147,91,426186749
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,5,9,2,392525010
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,3,,161,67,383192868
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,5,3,118,63,362640450
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,1,,149,91,452846628
692110379,KCab-s_R,,KCab-s,Traced,544,241,184,85,,1,289839608
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,1,,2914,18,1733289825
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,12,3,103,57,354105707
704746457,KCab-p_R,,KCab-p,Traced,741,247,246,79,2,1,389043123
723853340,KCab-s_R,,KCab-s,Traced,606,238,197,81,,1,331658050
735790008,KCab-s_R,,KCab-s,Traced,619,256,154,79,1,1,344825613
