id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,116,52,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,1075,268,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,420,110,549779297
300968622,KCab-m_R,,KCab-m,Traced,511,193,151,68,279723087
301309622,KCab-c_R,,KCab-c,Traced,358,142,108,48,133670973
301314150,KCab-c_R,,KCab-c,Traced,528,179,124,52,271031858
301314154,KCab-c_R,,KCab-c,Traced,415,156,142,53,139037136
301314208,KCab-c_R,,KCab-c,Traced,411,148,126,35,242376591
301318641,KCab-c_R,,KCab-c,Traced,437,177,98,58,237234042
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,1076,264,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,1155,333,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,776,236,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,6917059458
331662668,KCab-m_R,,KCab-m,Traced,530,216,129,60,283368182
331662717,KCab-s_R,,KCab-s,Traced,630,224,186,80,287565290
331999156,KCab-c_R,,KCab-c,Traced,568,159,139,50,241428851
331999213,KCab-s_R,,KCab-s,Traced,614,220,169,77,291645899
332003372,KCab-c_R,,KCab-c,Traced,395,161,111,47,122162962
332003629,KCab-m_R,,KCab-m,Traced,514,192,122,57,253736233
332003730,KCab-c_R,,KCab-c,Traced,353,139,112,44,103432112
332003895,KCab-m_R,,KCab-m,Traced,410,195,131,62,127517438
332003899,KCab-c_R,,KCab-c,Traced,324,128,98,43,105484035
332007728,KCab-m_R,,KCab-m,Traced,506,195,139,66,277872366
332008063,KCab-m_R,,KCab-m,Traced,560,194,121,57,294635155
332008082,KCab-m_R,,KCab-m,Traced,531,195,116,54,177708912
332340127,KCab-s_R,,KCab-s,Traced,549,226,130,68,313331158
332340236,KCab-m_R,,KCab-m,Traced,521,208,113,57,266377828
332344539,KCab-c_R,,KCab-c,Traced,320,128,94,43,234057501
332344592,KCab-c_R,,KCab-c,Traced,398,149,150,57,240960634
332344670,KCab-c_R,,KCab-c,Traced,486,169,111,44,234167577
332344760,KCab-c_R,,KCab-c,Traced,395,134,122,42,246819285
332344908,KCab-m_R,,KCab-m,Traced,487,189,118,55,268817182
332349228,KCab-c_R,,KCab-c,Traced,456,166,127,59,214914746
332349327,KCab-c_R,,KCab-c,Traced,447,169,107,45,256659037
332353106,KCab-m_R,,KCab-m,Traced,571,211,157,61,321812342
332353336,KCab-m_R,,KCab-m,Traced,564,205,153,62,225763648
332353438,KCab-s_R,,KCab-s,Traced,622,227,169,73,282464071
332353566,KCab-m_R,,KCab-m,Traced,543,212,126,59,269502245
332685594,KCab-c_R,,KCab-c,Traced,511,166,108,45,237332908
332685751,KCab-c_R,,KCab-c,Traced,494,160,153,53,273649025
332685755,KCab-c_R,,KCab-c,Traced,505,156,118,43,242692260
332689776,KCab-m_R,,KCab-m,Traced,512,199,113,48,264328558
332690153,KCab-c_R,,KCab-c,Traced,512,179,100,49,245024062
333030976,KCab-m_R,,KCab-m,Traced,584,202,124,58,283536655
333031114,KCab-m_R,,KCab-m,Traced,551,231,175,77,276663020
333035349,KCab-s_R,,KCab-s,Traced,526,212,162,69,254599892
333039671,KCab-m_R,,KCab-m,Traced,509,199,127,63,286421642
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,315,111,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,1088,309,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,197,75,377339671
362689128,KCab-s_R,,KCab-s,Traced,617,227,164,74,273811187
362693077,KCab-m_R,,KCab-m,Traced,532,184,128,58,263906669
362693473,KCab-m_R,,KCab-m,Traced,520,209,123,64,239370489
362697657,KCab-s_R,,KCab-s,Traced,601,210,178,72,313058417
362701764,KCab-s_R,,KCab-s,Traced,600,249,151,74,318733719
362701875,KCab-s_R,,KCab-s,Traced,552,218,153,83,334397254
362701895,KCab-m_R,,KCab-m,Traced,550,187,154,64,175991386
362701969,KCab-s_R,,KCab-s,Traced,622,232,197,83,333622355
363029976,KCab-m_R,,KCab-m,Traced,581,226,165,75,274155899
363030024,KCab-m_R,,KCab-m,Traced,548,198,146,65,261572170
363030040,KCab-s_R,,KCab-s,Traced,641,229,150,59,313793782
363034174,KCab-m_R,,KCab-m,Traced,490,164,100,50,150639369
