id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,1075,268,3,2,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,420,110,7,3,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,1076,264,6,3,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,1155,333,3,5,766273281
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,19,14,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,315,111,10,3,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,1088,309,5,2,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,197,75,8,1,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,3,9,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,10037,18,604,2,4356555624
425790257,APL_R,,APL,Traced,127151,16190,14938,1215,677,145,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,172,40,4,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,662,182,18,1,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1134,335,13,7,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,2,2,4,2,555872978
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,2,1,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,352,77,12,3,279368748
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,2,17,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,2,,16,5,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,40,71,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,6,3,36,12,387116321
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,956,282,22,4,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,449,109,27,3,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,856,147,17,3,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,704,152,12,2,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,77,24,17,9,399312668
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,394,101,22,2,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1046,316,4,1,434243909
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,264,75,2,1,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,30,,1078,9,4377863012
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,850,245,19,3,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,306,101,22,6,275698658
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,233,94,19,1,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,194,58,11,2,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,339,88,10,1,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,138,37,22,22,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,256,59,12,2,188620262
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,2,,284,70,360759597
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,4,1,11,6,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,157,56,11,3,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,849,182,24,3,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,191,55,13,4,135248805
834044577,PAM06_b(B'2m)_R,,PAM06_b,Traced,910,139,1,,309,50,275767269
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,107,36,143,32,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,134,35,14,7,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,1055,205,9,1,486729507
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,1,,94,1,2083130629
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,9,4,11,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,220,79,22,5,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,451,131,7,3,430816435
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,2,,84,6,2226046804
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,17,4,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,953,186,18,2,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,155,42,4,1,135784276
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,5210,87,2791162363
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,133,41,17,4,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,9,2,17,5,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,8,2,331,60,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1243,291,6,4,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,458,92,20,1,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,1273,219,9,4,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,695,173,23,5,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,847,155,8,1,408798680
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,4,1,317,30,324421746
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,1,,395,64,311773637
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,17,2,360,58,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1307,236,11,2,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,1230,239,13,1,444720536
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,52,9,15,3,659070629
1231744096,,,,Traced,641,75,1,,429,54,110174320
1233436396,PAM06_b(B'2m)_R,,PAM06_b,Traced,924,121,4,,246,37,240450436
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,241,53,44,10,239327987
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,1,,550,104,294286432
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,176,42,21,7,145351462
1293516024,KCa'B'_L?,,,Traced,261,110,4,1,187,78,93745473
1293524890,KCa'B'_L?,,,Traced,248,95,1,,133,50,101623491
1294534661,,,,Traced,818,107,6,,602,87,117489620
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,7,2,298,60,317425488
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,1015,286,8,1,472380184
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,955,290,19,2,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,765,239,12,3,355086914
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,109,36,13,3,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,107,35,40,14,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,183,65,2,1,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,8,9,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,828,157,10,1,383407340
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,8,2,671,179,394753648
5812979693,KCa'B'_L?,,,Traced,375,122,1,2,305,92,107809791
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,142,53,4,1,431109241
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,257,61,14,3,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,1,1,10,3,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,105,32,33,18,151824685
5812996052,,,,Traced,609,368,102,36,11,13,688274394
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,3,3,13,21,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7725,12,806,4,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,3,5,3288021127
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,8,1,679,63,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,2,,74,25,288587422
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,10,,96,32,427955175
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,329,94,12,3,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,174,77,8,2,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,648,118,18,2,324522133
