id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,116,52,15,5,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,420,110,15,10,549779297
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,1155,333,11,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,776,236,8,4,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,21,21,6917059458
333035349,KCab-s_R,,KCab-s,Traced,526,212,162,69,2,1,254599892
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,315,111,26,7,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,1088,309,14,5,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,197,75,44,8,377339671
363047222,KCab-s_R,,KCab-s,Traced,631,266,204,87,,1,336290357
393404592,SMP127_R,,SMP127,Traced,2570,648,3,9,12,29,1245001681
394427392,KCab-s_R,,KCab-s,Traced,650,247,165,85,4,4,248847423
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,310,72,12,1,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,17924,199,329,36,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,157,77,8,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,10037,18,1109,3,4356555624
425790257,APL_R,,APL,Traced,127151,16190,14938,1215,11254,1515,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,196,85,4,2,271653563
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,172,40,13,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,662,182,4,2,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1134,335,12,9,846161332
456121649,KCab-s_R,,KCab-s,Traced,555,221,163,68,2,1,309280336
456462835,KCab-p_R,,KCab-p,Traced,646,277,212,100,7,3,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,192,82,9,1,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,172,76,5,3,332313427
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,5,2,307,131,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,289,91,17,4,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,2,2,10,5,555872978
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,10,6,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,352,77,11,1,279368748
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,3,4,319,125,404232661
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,6,,270,111,432706975
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,5,1,326,150,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,217,75,4,1,346345890
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,2,15,3,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,2,,22,5,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,11,26,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,204,81,13,3,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,6,4,298,119,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,270,93,16,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,,306,103,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,29,1,308,122,408741628
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,2,1,359,163,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,177,80,2,1,350846940
519573128,KCab-p_R,,KCab-p,Traced,728,249,270,88,8,1,360265700
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,6,3,239,105,387116321
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,3,2,340,121,321780254
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,1,,316,135,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,15,4,308,103,370237636
549248200,KCab-p_R,,KCab-p,Traced,714,256,244,91,5,1,392920755
549571627,KCab-p_R,,KCab-p,Traced,742,260,294,104,,1,368796696
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,956,282,18,8,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,449,109,14,4,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,856,147,12,1,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,704,152,7,3,403977461
569317846,KCab-m_R,,KCab-m,Traced,529,208,138,60,,1,270885312
573065577,KCab-p_R,,KCab-p,Traced,669,256,242,72,6,3,379155378
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,77,24,21,8,399312668
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,4,3,329,136,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,8,2,348,136,417324948
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,1,2,357,171,452235552
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,394,101,13,3,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1046,316,10,9,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,215,46,4,1,200058563
600365719,KCab-p_R,,KCab-p,Traced,657,271,237,90,1,1,366582664
611304789,KCab-s_R,,KCab-s,Traced,587,240,185,84,2,1,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,243,90,11,2,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,210,81,5,1,368031615
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,12,5,324,103,405985069
