id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,a'L(R) #post,a'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,14,13,6917059458
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,42,25,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,36,2,1773011190
425790257,APL_R,,APL,Traced,127151,16190,677,145,10116,1262,23360457066
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,21,3,4036468535
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,14,20,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,36,12,127,58,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,61,25,137,71,437355377
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,80,34,102,47,409839983
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,9,,586,5,483565747
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,174,83,3,1,296744630
725701350,LHPV10d1(PDM09)_L,,LHPV10d1,Traced,3093,1663,1,,2,3,1890321865
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,71,29,3,1,293613873
767494105,KCab-p_R,,KCab-p,Traced,633,218,11,3,6,2,365582357
797687628,PAM14(B'1m)_L,,PAM14,Traced,297,107,23,4,8,2,122502582
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,109,48,1,2,192486246
1043151516,,,,Traced,156,246,1,3,,3,889810212
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,172,24,2886,850,4211579375
1170400248,APL fragment?,,,Traced,2026,235,1453,183,25,1,293828523
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,,1,6190229391
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,26,5,3,1,3325948715
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,138,1,785,344,869209965
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,32,12,155,86,437684352
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,61,13,2837,682,5444071374
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,96,32,134,59,427955175
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,9,10,3486100136
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,37,14,194,96,442358082
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,3,1,392247819
