id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,7,,15,5,323658271
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,19,53,1973521252
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,169,3,1,1,1486830838
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,7,3,15,10,549779297
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,5,11,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,9,,8,4,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,21,21,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,26,7,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,5,2,14,5,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,8,1,44,8,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,34,23,12,29,1245001681
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,3,,12,1,250175925
422751191,SMP177_R,,SMP177,Traced,13884,2333,2,,17,5,3691832933
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,8,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,3,2,6483095365
425790257,APL_R,,APL,Traced,127151,16190,677,145,11254,1515,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,13,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,18,1,4,2,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,13,7,12,9,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,38,27,15,8,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,2,10,5,555872978
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,10,6,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,12,3,11,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,12,8,2,9,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,26,3,4036468535
487191669,,,,Traced,246,125,1,,3,1,303378637
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,16106,129,1827,9,3979007410
488322846,SMP128_L,,SMP128,Traced,310,261,10,14,5,6,319243147
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,2,,26,2,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,,1,1,1178319505
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,17,2,15,3,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,16,5,22,5,428816755
517207902,PAM05(B'2p)_R,,PAM05,Traced,1380,352,257,109,598,233,459070784
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,11,26,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,30,19,19,20,478509017
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,36,12,239,105,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,61,25,238,102,437355377
549610772,PAM05(B'2p)_R,,PAM05,Traced,1427,327,293,100,547,215,423011775
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,22,4,18,8,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,27,3,14,4,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,17,3,12,1,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,12,2,7,3,403977461
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,10,9,,4,1640712084
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,17,9,21,8,399312668
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,10,4,53,21,417405171
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,22,2,13,3,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,4,1,10,9,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,5,,4,1,200058563
608240943,,,,Traced,68,77,1,,,3,135113675
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,1,7,4,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,1078,9,15686,131,4377863012
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,1,,7040,6,3379363451
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,12,,9,1,321942494
640617445,CRE063_R,,CRE063,Traced,482,218,8,,17,5,377507052
641688553,CRE042_R,,CRE042,Traced,6850,1277,16,2,47,1,2405591250
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,1,1,3,5,362337911
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,25,,28,1,2023774583
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,528,98,291,55,299806071
643523134,PAM05(B'2p)_L,,PAM05,Traced,1224,379,709,231,337,135,383554998
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,19,3,8,7,463952694
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,184,21,648,90,315506243
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,22,6,13,6,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,5,,12,2,279472747
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,80,34,239,106,409839983
670970540,,,,Traced,137,122,4,,,1,235163659
675136878,CRE070_R,,CRE070,Traced,2002,703,1,,5,1,1301294761
675451588,PAM14(B'1m)_R,,PAM14,Traced,606,207,115,57,247,121,279502184
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,164,76,225,109,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,19,1,2,1,251389374
675763039,PAM06_a(B'2m)_R,,PAM06_a,Traced,1447,402,304,128,681,266,502684880
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,11,2,5,2,277333760
693927941,ALIN1_R,,ALIN1,Traced,1553,406,22,22,28,27,2113783525
702704906,CRE058_R,,CRE058,Traced,463,147,1,2,1,3,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,24,1,1,3,2183958132
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,174,83,187,99,296744630
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,12,2,4,1,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,11,,10,2,311089027
732038980,,,,Traced,56,128,1,1,,1,128253142
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,71,29,266,118,293613873
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,3,,13,6,357006298
735600320,PAM06_a(B'2m)_L,,PAM06_a,Traced,1138,357,642,227,280,123,391883055
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,284,70,638,155,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,14,3,11,3,937265171
765457262,PAM06_a(B'2m)_R,,PAM06_a,Traced,1430,310,288,115,457,187,389761769
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,11,6,12,5,271683779
766838498,PAM14(B'1m)_R,,PAM14,Traced,635,215,125,65,269,123,314052609
767174553,CRE058_R,,CRE058,Traced,286,141,3,3,1,1,356082675
