id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
296139882,SMP076_R,,SMP076,Traced,6704,1813,3,,21,2,3427118784
329225149,LHCENT10_R,,LHCENT10,Traced,2243,1401,4,,19,1,2610937664
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,59,47,6917059458
393063351,SMP272_R,,SMP272,Traced,3340,989,1,,109,3,2289300784
422751191,SMP177_R,,SMP177,Traced,13884,2333,17,5,20,20,3691832933
455155337,SMP152_R,,SMP152,Traced,1942,697,1,,21,19,1726731677
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,202,235,2489431605
484368420,SLP461(SCB045)_R,,SLP461,Traced,1209,453,1,,11,4,735748551
487187476,SIP087_R,,SIP087,Traced,10957,3440,26,3,780,405,4036468535
542376096,SMP237_R,LCPl-SmSi,SMP237,Traced,4489,994,3,,352,25,2106891458
549597974,SMP142_R,,SMP142,Traced,3235,2217,7,11,219,230,2511194126
570742599,KCg-m_R,,KCg-m,Traced,800,259,1,,2,2,409027498
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,2,,512,54,1823088730
611629428,CRE077_R,,CRE077,Traced,4028,748,3,,31,2,1769946727
612004584,CRE069_R,,CRE069,Traced,1221,642,2,,11,4,1365924450
613040803,CRE049_R,,CRE049,Traced,2229,750,3,,101,12,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,18,1,8,14,653637060
613719036,MBON10(B'1)_R,,MBON10,Traced,1254,198,378,4,5,1,380870360
633148704,KCg-m_R,,KCg-m,Traced,848,237,5,3,1,1,360958036
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,5,,490,61,2934178330
640630581,CRE058_R,,CRE058,Traced,350,160,3,,,2,394843136
642715622,FB2C_R,SMPCREFB2_1,FB2C,Traced,1675,305,1,,39,1,756531675
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,106,,89,1,4367730421
643739027,CRE052_R,,CRE052,Traced,1131,192,1,,56,6,430341174
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,,23,35,795100404
667603691,ATL035_R,,ATL035,Traced,1272,359,1,,364,28,1101689382
667857582,LHPV7c1_R,,LHPV7c1,Traced,2339,1062,3,,17,6,2219154543
669965108,CRE076_R,,CRE076,Traced,2873,1348,17,,127,41,2190715571
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,130,,3,1,483565747
675136878,CRE070_R,,CRE070,Traced,2002,703,5,1,88,2,1301294761
677182018,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1760,554,5,,301,2,1202233671
696950427,ATL038_R,,ATL038,Traced,1072,382,3,,50,1,972622314
699324804,SIP081_R,,SIP081,Traced,1714,524,1,1,164,13,891515346
702704906,CRE058_R,,CRE058,Traced,463,147,1,3,17,31,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,1,3,681,329,2183958132
704116248,LAL032_R,,LAL032,Traced,851,204,7,,213,85,363551337
706840303,CRE051_R,,CRE051,Traced,1123,187,4,,5,6,468329707
