id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,bL(L) #post,bL(L) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,15,5,145,48,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,12,,503,137,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,15,10,232,63,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,4,,318,79,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,11,1,543,157,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,8,4,271,76,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,26,7,142,48,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,14,5,478,145,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,44,8,73,34,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,12,1,259,53,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,7262,15,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,3,2,5333,1048,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,13,1,153,38,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,4,2,274,76,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,12,9,592,167,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,10,5,4,1,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,11,1,327,58,279368748
488322846,SMP128_L,,SMP128,Traced,310,261,5,6,,2,319243147
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,3,3,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,22,5,5,1,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,239,48,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,19,20,,2,478509017
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,18,8,673,214,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,14,4,747,147,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,12,1,1554,243,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,7,3,1454,296,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,21,8,3,2,399312668
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,13,3,837,170,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,10,9,310,89,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,4,1,349,83,200058563
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,7,4,201,49,261596710
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,8,7,594,167,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,13,6,356,113,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,12,2,259,58,279472747
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,225,109,,1,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,2,1,213,78,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,5,2,597,150,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,2,,562,114,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,28,27,147,37,2113783525
