id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,bL(R) #post,bL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,15,5,116,52,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,12,,1075,268,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,15,10,420,110,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,4,,1076,264,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,11,1,1155,333,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,8,4,776,236,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,6,8,6917059458
333035349,KCab-s_R,,KCab-s,Traced,526,212,2,1,162,69,254599892
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,26,7,315,111,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,14,5,1088,309,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,44,8,197,75,377339671
363030040,KCab-s_R,,KCab-s,Traced,641,229,1,,150,59,313793782
393404592,SMP127_R,,SMP127,Traced,2570,648,12,29,3,9,1245001681
394427392,KCab-s_R,,KCab-s,Traced,650,247,4,4,165,85,248847423
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,12,1,310,72,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,329,36,17924,199,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,8,1,157,77,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,10037,18,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,250,88,382647663
425790257,APL_R,,APL,Traced,127151,16190,11254,1515,14938,1215,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,4,2,196,85,271653563
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,13,1,172,40,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,4,2,662,182,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,12,9,1134,335,846161332
455793743,KCab-s_R,,KCab-s,Traced,634,244,1,,176,76,300619269
456121649,KCab-s_R,,KCab-s,Traced,555,221,2,1,163,68,309280336
456462835,KCab-p_R,,KCab-p,Traced,646,277,7,3,212,100,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,9,1,192,82,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,5,3,172,76,332313427
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,307,131,5,2,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,17,4,289,91,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,10,5,2,2,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,11,1,352,77,279368748
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,319,125,3,4,404232661
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,33,,5606,6,1630842748
