id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,19,53,15,6,1973521252
326817334,SMP012_R,,SMP012,Traced,1781,488,4,,1,8,1335099785
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,4,,9,2,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,424,316,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,26,7,,1,434301483
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4,1,4814,1090,5117109108
415511327,KCg-m_R,,KCg-m,Traced,791,213,4,1,480,188,357755854
415835070,KCg-m_R,,KCg-m,Traced,874,279,1,,570,243,374127182
416189500,KCg-m_R,,KCg-m,Traced,835,254,4,2,474,206,361575893
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,12,1,4,5,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,329,36,35,4,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,8,1,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,3,2,1336,329,6483095365
425790257,APL_R,,APL,Traced,127151,16190,11254,1515,33649,3544,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,13,1,77,31,226850098
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,7,,722,112,330101101
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,1,,405,93,279536002
456462919,KCab-p_R,,KCab-p,Traced,633,245,9,1,2,1,354321563
477909679,KCg-m_R,,KCg-m,Traced,749,251,1,,486,221,373910590
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,14,6,2489431605
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,319,125,,1,404232661
486880919,SMP012_R,,SMP012,Traced,1734,464,4,1,1,6,1337974199
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,33,,464,1,1630842748
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,287,133,5,4,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,311,92,18,8,413858538
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,393,189,10,7,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,312,149,17,18,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,326,150,9,7,448443256
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,28,,827,100,380174418
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,343,139,27,9,409972326
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,26,2,594,121,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,1,8,3,1178319505
508599211,KCg-m_R,,KCg-m,Traced,900,275,3,1,551,238,391667248
508939879,KCg-m_R,,KCg-m,Traced,679,237,144,53,265,131,391159969
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,73,84,1964048244
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,290,122,18,10,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,269,116,4,1,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,13,3,5,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,306,103,5,4,449871654
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,332,150,13,9,406965578
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,371,170,31,11,477341060
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,349,169,18,15,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,320,145,10,5,418664355
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,313,171,8,6,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,327,165,11,9,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,360,164,26,12,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,359,163,7,2,455019134
520380132,SMP127_L,,SMP127,Traced,508,457,19,20,2,1,478509017
539975122,KC(incomplete?),,,Traced,671,213,227,90,208,81,394579982
540389646,KCg-m_R,,KCg-m,Traced,845,252,2,1,534,194,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,2,1,470,204,378955754
