id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
360958913,mAL1_L,,mAL1,Traced,237,148,5,1,4,1,458789583
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,144,,7,5,3653164758
390486371,SMP147(ADM10)_L,,SMP147,Traced,3155,671,4,,317,3,2087229086
422738252,SMP178_R,,SMP178,Traced,6049,1058,10,,3,1,2124179274
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,92,3,2320900064
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,54,1,6,8,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,4,11,2489431605
485589846,SMP157(ADM12)_L,,SMP157,Traced,1312,474,12,,26,29,1008657922
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,15,5,1,4,3738265959
518670779,MBON33(y2y3)(ADM05)_L,,MBON33,Traced,2990,390,782,26,159,12,1172280543
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,28,1,76,21,3103732460
549722579,CRE040(ADM10)_L,CL-Sm(c),CRE040,Traced,8553,1786,16,,1535,206,3413169368
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,3,,583,50,2008584360
550081666,SMP114_R,,SMP114,Traced,4841,773,31,,31,4,2038760331
550404663,SMP154(ADM12)_L,,SMP154,Traced,3322,1232,2,,57,5,2181381449
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,34,,67,7,2914412525
550681259,CRE028_R,,CRE028,Traced,767,226,14,,120,76,728641724
551043841,CRE033_L,,CRE033,Traced,754,252,2,1,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,12,2,227,88,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,7,,259,130,979623989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,1,3,72,82,1640712084
579425252,Leaves Body,,,Traced,648,720,71,21,11,8,820954559
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,5,2,264,23,2075693705
581121328,,,,Traced,890,139,6,1,49,1,851399266
583132200,SMP052(ADM01)_L,,SMP052,Traced,2833,417,1,,16,3,1213845957
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,73,1,63,35,1801835068
610113424,SMP504(PDM22)_L,,SMP504,Traced,2201,1088,4,,38,1,1559291163
610321522,SMP151_R,,SMP151,Traced,1801,578,1,,47,46,1444829096
610731053,CRE027_R,,CRE027,Traced,1623,294,9,,8,3,1208551353
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,2141,13,687,29,1891978571
612095452,,,,Traced,329,641,24,9,14,14,603144270
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,68,2,6,9,491944011
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,9,,,4,665934503
612742298,CRE036_L,,CRE036,Traced,592,134,6,,13,9,567524859
612742316,CRE036_L,,CRE036,Traced,536,144,10,,2,4,593417196
612755343,CRE023_L,,CRE023,Traced,2297,801,34,1,108,53,2214780944
613126471,CRE044(ADM10)_L,,CRE044,Traced,842,139,38,1,167,72,457318739
641688553,CRE042_R,,CRE042,Traced,6850,1277,4,,140,103,2405591250
643488175,CRE045(ADM10)_L,,CRE045,Traced,756,157,7,,12,18,380798038
643830129,CRE046(ADM10)_L,Sm-C,CRE046,Traced,791,190,23,1,21,17,473774363
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,2371,14,141,5,3202870430
644113913,SMP139_L,,SMP139,Traced,919,199,1,,47,35,587047514
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,1,22,49,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,91,6,44,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,4,,5,4,458497013
644161860,CRE045(ADM10)_L,,CRE045,Traced,672,141,5,,6,8,357438901
644874664,,,,Traced,406,439,3,,5,7,512562388
645897107,CRE044(ADM10)_L,,CRE044,Traced,593,75,10,,173,55,361381092
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,1,2,12,11,642080855
673863199,CRE041(ADM10)_L,CL-L(c)2,CRE041,Traced,4230,882,9,,1475,89,1990756814
674195939,(ADM10)_L,,,Traced,1211,350,160,3,9,1,626081409
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,165,11,1906,73,2764738281
675144948,CRE031_L,,CRE031,Traced,654,198,4,,24,27,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,8,2,9,1,611705625
675187578,CRE036_R,,CRE036,Traced,483,120,7,,10,1,489036298
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,46,4,13,25,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,179,1,228,6,2090195593
676573560,CRE007(ADM01)_L,,CRE007,Traced,700,380,3,,,4,603172680
