id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,a'L(R) #post,a'L(R) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,5,4,6,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,14,13,6917059458
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,33,31,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,51,2,36,2,1773011190
457520516,(MBDLaxon2),,,Traced,1102,1060,6,6,4,1,1208350209
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,14,20,1964048244
548712377,SMP384_R,,SMP384,Traced,6812,2733,4,1,1,1,2914119235
613083375,CRE032_L,,CRE032,Traced,918,233,3,2,52,1,653637060
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,,1,2,192486246
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,2886,850,4211579375
1170400248,APL fragment?,,,Traced,2026,235,1,1,25,1,293828523
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,,1,6190229391
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,10,,3,5,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,4,,785,344,869209965
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,351,92,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,1423,464,2837,682,5444071374
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,9,10,3486100136
