id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,bL(R) #post,bL(R) #pre,#voxels
299289811,SMP146_R,,SMP146,Traced,5080,1011,22,15,,1,2562854346
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,6,8,6917059458
393404592,SMP127_R,,SMP127,Traced,2570,648,13,4,3,9,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,320,65,5265462913
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,222,34,1964048244
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,856,147,382607989
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,113,27,,1,343929818
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,10,,4,1,6839504360
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,1,,306,101,275698658
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,194,58,277333760
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,191,55,135248805
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,9,,5,1,1395825196
984453829,,,,Traced,659,689,3,3,,1,584836699
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,5,,220,79,233922701
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,9,2,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,6,,8,2,326742368
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,32,6,4,1,324421746
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,102,38,8,2,320100027
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,161,50,67,16,225739136
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,48,28,6190229391
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,38,2,,2,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,15,2,,1,2164861052
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,351,92,3,3,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7,1,7725,12,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,82,18,5,1,3288021127
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,54,10,8,1,281021176
