id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,FB #post,FB #pre,#voxels
296851261,FB8G_R,SMPSIPFB8_2,FB8G,Traced,1243,330,1,,813,284,667890226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,3576,2111,6917059458
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,2,,3000,1213,2357223448
485511772,PAL01_R,,PAL01,Traced,3346,1399,3,,2,1,2938877788
486842208,FB5C_R,SMPCREFB5_1,FB5C,Traced,2509,533,6,,1661,416,904720446
548907426,FB4X_R,CRESIPFB45,FB4X,Traced,4862,1240,4,,2850,1235,2158696775
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,40,1,1101,873,1823088730
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,475,195,1,3,2704741582
768224139,FB4O_R,CRESMPFB4d,FB4O,Traced,1631,723,5,2,798,649,1032262836
859977121,FB4Q_a_R,CRESMPFB4_5,FB4Q_a,Traced,1811,619,1,,1060,617,985860348
885262087,FB7I_R,SMPSIPFB76,FB7I,Traced,1858,487,1,,1409,427,929300073
890671753,FB5D_R,CRESMPFB5_1,FB5D,Traced,3018,613,5,,1802,461,1019105034
893741163,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2736,597,1,,1775,522,1011252039
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,13,,1096,463,1395825196
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,10,,1023,402,1255531817
953414780,FB4H_R,CRELALFB4_4,FB4H,Traced,4189,875,2,,1926,759,2648335537
977002744,FB6U_R,SMPCREFB6_2,FB6U,Traced,1614,441,1,,1186,427,813425363
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,105,29,1622607507
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,5,,1052,414,1341902381
988567837,FB4G_R,CRELALFB4_3,FB4G,Traced,3861,785,8,,2161,592,1567841591
1008024276,FB5N_R,SMPCREFB5_4,FB5N,Traced,2011,499,1,,1028,470,1211500058
1016192580,FB4O_R,CRESMPFB4d,FB4O,Traced,1516,613,32,,755,548,965319533
1050935614,FB5V_R,CRELALFB5,FB5V,Traced,1460,268,2,,421,185,670369042
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,9,2,833,384,724270517
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,1,,748,312,1015553194
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,194,4,369,332,853725137
1163898298,FB5V_R,CRELALFB5,FB5V,Traced,1695,274,10,,525,199,661211274
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,4,,2532,605,2367341468
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,131,64,6190229391
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,45,4,790,633,1050718993
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,4,,3007,1327,2846693400
5813053851,FB5W_R,SMPCREFB5_7,FB5W,Traced,993,246,1,,570,232,755813941
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,16,1,1051,891,1798572771
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,3071,1745,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,55,1,3717,2821,3621432113
5813075748,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1946,665,1,,1002,651,1194734460
5813079193,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,2052,712,4,,887,632,1072415389
