id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,9,3,7,5,3653164758
422738252,SMP178_R,,SMP178,Traced,6049,1058,6,3,3,1,2124179274
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,33,1,6,8,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,4,11,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,31,37,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,67,182,5638174363
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,14,7,1,4,3738265959
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,6,,15,24,3090347718
550081666,SMP114_R,,SMP114,Traced,4841,773,47,,31,4,2038760331
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,33,7,67,7,2914412525
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,2,7,227,88,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,12,4,259,130,979623989
578254032,SMP151_R,,SMP151,Traced,1731,597,2,,50,36,1457232811
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,1,,48,144,3043835720
581099105,SMP178(PDL05)_L,,SMP178,Traced,2970,972,1,,45,21,1411394133
610321522,SMP151_R,,SMP151,Traced,1801,578,12,,47,46,1444829096
610731053,CRE027_R,,CRE027,Traced,1623,294,23,6,8,3,1208551353
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,4,,6,9,491944011
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1010,49,,4,665934503
612742298,CRE036_L,,CRE036,Traced,592,134,6,,13,9,567524859
612742316,CRE036_L,,CRE036,Traced,536,144,4,,2,4,593417196
612755343,CRE023_L,,CRE023,Traced,2297,801,24,1,108,53,2214780944
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,7,1,2,5,748302593
641688553,CRE042_R,,CRE042,Traced,6850,1277,40,,140,103,2405591250
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,7289,42,251,343,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,37,1,22,49,795100404
644148539,CRE039_R,,CRE039,Traced,606,179,1,,98,12,448215943
644148647,CRE031_R,,CRE031,Traced,756,196,15,5,44,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,4,1,5,4,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,8,1,4,13,468734043
644153089,CRE039_R,,CRE039,Traced,573,140,2,,45,12,418721819
644450565,CRE005_R,,CRE005,Traced,1857,858,7,3,28,49,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,1,,15,78,1701061495
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,22,11,2190715571
675136878,CRE070_R,,CRE070,Traced,2002,703,5,,11,7,1301294761
675144948,CRE031_L,,CRE031,Traced,654,198,10,2,24,27,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,3,16,9,1,611705625
675187578,CRE036_R,,CRE036,Traced,483,120,3,,10,1,489036298
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,29,4,13,25,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,56,,228,6,2090195593
701371011,SMP370_R,,SMP370,Traced,1736,699,8,2,73,127,2101402424
704816317,,,,Traced,925,1100,2,2,2,11,1390622287
706862579,CRE059_R,,CRE059,Traced,1466,552,3,,45,29,1186755402
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,4,,56,1,1388838528
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,13,12,12,9,1598047565
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,475,195,4,2,2704741582
769263962,AVLP477_R,,AVLP477,Traced,3877,898,8,,2,12,3183304555
769605178,CRE047_R,,CRE047,Traced,1053,114,21,,70,22,469273291
