id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,171,,6,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,14,13,6917059458
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,5,,15,3,2855596370
415511327,KCg-m_R,,KCg-m,Traced,791,213,480,188,2,2,357755854
415848195,KCg-m_R,,KCg-m,Traced,798,213,443,163,2,1,342713700
415908516,KCg-m_R,,KCg-m,Traced,748,235,451,197,2,1,344222918
416189500,KCg-m_R,,KCg-m,Traced,835,254,474,206,1,1,361575893
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,35,4,38,18,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,42,25,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,3,3,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,19,1,36,2,1773011190
425768822,KCab-s_R,,KCab-s,Traced,719,254,4,1,,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,10116,1262,23360457066
446848967,KCg-m_R,,KCg-m,Traced,794,215,465,173,1,2,407287419
448342846,CRE075_R,,CRE075,Traced,6837,880,38,,6,3,3305148308
457175171,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2109,270,1,,1269,19,502230847
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,4,,174,92,389441845
478591447,CL129_R,,CL129,Traced,3121,1067,26,1,23,5,1415882800
486496648,SMP195_a_R,,SMP195_a,Traced,653,181,1,,2,1,478090655
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,107,4,18,5,5135386763
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,21,3,4036468535
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,5,4,172,92,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,18,8,147,81,413858538
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,10,7,145,87,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,17,18,144,73,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,9,7,137,80,448443256
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,27,9,136,82,409972326
508939879,KCg-m_R,,KCg-m,Traced,679,237,265,131,54,23,391159969
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,19,,2108,892,1948744287
