id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,bL(L) #post,bL(L) #pre,#voxels
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,1,,232,63,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,9,2,318,79,610336226
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,73,34,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,4,5,259,53,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,7262,15,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,1336,329,5333,1048,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,77,31,153,38,226850098
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,592,167,846161332
488322846,SMP128_L,,SMP128,Traced,310,261,2,,,2,319243147
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,239,48,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,2,1,,2,478509017
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,3,2,399312668
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,3,201,49,261596710
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,1,,259,58,279472747
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,1,,,1,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,17,5,213,78,251389374
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,4,,379,73,456132824
800303089,PPL108_R,,PPL108,Traced,5875,2272,23,2,,1,2618373937
984799284,CRE060_R,,CRE060,Traced,844,393,8,1,,1,738647628
1016166928,,,,Traced,202,385,30,4,,1,299158941
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,60,6,84,2,2083130629
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,1,1,114,28,149916255
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,5,,,2,551823489
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1,,812,203,720192159
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,4,,647,130,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,10,1,391,77,474678964
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,,,1,1166760517
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1,,743,137,515766690
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,51,18,184,48,225739136
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,88,29,6190229391
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,1,1,2164861052
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,11,7,,1,2685199565
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,3,,5,2,248528210
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,8835,81,3410455915
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,23,4,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,4,1,3486100136
