id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,15,6,4,1,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,20,4,30,36,2562854346
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,1,,7,3,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,9,2,6,3,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,19,14,6917059458
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,8,1,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,6,,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,604,2,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,1336,329,6728,1648,6483095365
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,677,145,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,77,31,4,1,226850098
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,13,7,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,38,27,371345136
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,2,1,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,2,2,4036468535
488322846,SMP128_L,,SMP128,Traced,310,261,2,,10,14,319243147
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,40,71,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,2,1,30,19,478509017
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,2,,61,25,437355377
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,330,44,22,3,305318308
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,17,9,399312668
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,909,198,10,4,417405171
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,3,2,1,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,22,6,1078,9,4377863012
613040803,CRE049_R,,CRE049,Traced,2229,750,19,9,14,4,1511757943
641688553,CRE042_R,,CRE042,Traced,6850,1277,40,,16,2,2405591250
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,61,12,528,98,299806071
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,92,8,184,21,315506243
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,25,,4841,8,6713237576
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,1,,164,76,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,17,5,19,1,251389374
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,1,1,174,83,296744630
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,1,,71,29,293613873
760690116,CRE066_R,,CRE066,Traced,934,533,1,,14,3,937265171
765457262,PAM06_a(B'2m)_R,,PAM06_a,Traced,1430,310,2,,288,115,389761769
767671354,PAM14(B'1m)_L,,PAM14,Traced,360,159,1,1,132,53,163956942
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,298,76,5,1,337662143
798693540,PAM06_a(B'2m)_L,,PAM06_a,Traced,1006,387,7,2,468,207,408399939
799578347,PAM13(B'1ap)_R,,PAM13,Traced,975,248,1,,219,97,354640313
799919294,PAM14(B'1m)_R,,PAM14,Traced,544,185,1,,85,42,305810666
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,4,,24,3,456132824
800622401,PAM13(B'1ap)_R,,PAM13,Traced,766,197,1,,169,69,280922115
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,312,89,7,1,440919426
829939688,CRE058_R,,CRE058,Traced,447,171,1,,3,2,468137590
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,369,110,2,1,402053568
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,200,81,8,1,258249835
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,15,,2,1,833177546
