id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,#voxels
203598466,,,,Traced,549,533,1,11,564913654
234292899,FB7M_L,SMPSIPFB7_5,FB7M,Traced,923,187,4,1,347121784
265120677,FB8A_R,SLPSMPFB8_1,FB8A,Traced,801,266,6,2,761202336
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,4,2,378275835
325489440,FB8D_R,SLPSMPFB8_2,FB8D,Traced,1009,155,5,2,473500434
327398074,SA3_bilateral_L,SlpA,SA3,Traced,214,101,1,1,153740384
329289084,FB6G_R,SIPSMPFB6_3,FB6G,Traced,1808,868,1,2,1571979600
362507326,FB6M_L,WEDLALFB6,FB6M,Traced,733,306,6,1,832418315
390818643,SMP188(PDL05)_L,,SMP188,Traced,950,471,1,6,687666518
391155165,FB7G_L,SMPFB78,FB7G,Traced,981,375,1,1,416497322
419980081,ATL013_R,,ATL013,Traced,176,144,1,3,346895266
422876942,FB6E_L,SIPSMPFB6_2,FB6E,Traced,2152,1260,3,2,1338822383
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,2,1,2357223448
452210677,,,,Traced,601,683,3,36,448921520
454939928,FB6Y_L,SMPSIPFB6_8,FB6Y,Traced,655,215,2,2,569928087
483193732,FB8C_L,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1290,272,3,1,844593401
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,5638174363
540112974,hDeltaD_07_C4,FB18D3FB8,hDeltaD,Traced,2395,354,28,12,851325995
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,15,19,1838016114
577373434,FB6B_L,SMPSIPFB6_2,FB6B,Traced,1481,585,5,2,786341866
667241165,SMP192_R,,SMP192,Traced,1173,486,4,2,1254196663
762222901,FB6C_b_L,SIPSMPFB6_1,FB6C_b,Traced,919,845,4,2,1524038099
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,1165397767
826663057,,,,Traced,375,596,2,13,495908932
861583277,AOTU008_a_R,aSP11b candidates,AOTU008_a,Traced,535,117,1,2,395537753
885599260,FB7J_R,FB78,FB7J,Traced,2064,215,8,1,717713948
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,2,1,493818064
885940052,FB8H_L,SMPSLPFB8,FB8H,Traced,443,247,1,3,452531833
886281163,hDeltaD_14_C8,FB18D3FB8,hDeltaD,Traced,2150,354,39,1,736377876
889414782,FB6N_L,CRESMPFB6_1,FB6N,Traced,2013,585,1,1,888012974
911496103,vDeltaA_b(AB)_C9,AF,vDeltaA_b,Traced,280,62,9,4,144494630
912187099,vDeltaE_C8,FB123D0FB6v,vDeltaE,Traced,928,139,2,1,307573925
915605750,hDeltaF_07_C3,FB16d7D2FB67,hDeltaF,Traced,2812,373,5,3,790097104
915606051,hDeltaL_07_C6,FB26D5FB6d,hDeltaL,Traced,2697,372,10,4,803946164
915615087,hDeltaC_07_C6,FB26D7FB6,hDeltaC,Traced,1253,255,13,2,552927958
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,569,12,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,518,9,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,134,279,4148353890
946304488,FB5AB_L,SIPCREFB5d,FB5AB,Traced,3049,961,4,3,2092899025
946308203,FB6A_R,SMPSIPFB6_1,FB6A,Traced,5470,2266,12,4,4246689748
946641212,FB6D_R,SMPFB6,FB6D,Traced,3680,1403,10,2,3164479350
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,505,16,3591373150
949045811,FB8B_R,PLPSLPFB8,FB8B,Traced,1347,267,5,1,1167033698
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,607,12,3339909507
977335062,FB5B_L,SMPSIPFB5d_1,FB5B,Traced,672,183,2,2,507248890
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,7,3,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,112,172,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,161,191,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,164,186,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,10,2,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,8,7,1935836510
979052812,FB7E_L,SMPSIPFB7_2,FB7E,Traced,844,230,2,2,418112500
980391580,FB8A_R,SLPSMPFB8_1,FB8A,Traced,635,187,4,2,481411729
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,54,21,658035288
1009708586,FB6K_L,SMPSIPFB6_6,FB6K,Traced,1251,409,2,1,1057438942
1012954687,AVLP160_R,,AVLP160,Traced,2820,618,1,1,2033167432
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,5331729469
1039068185,FB5O_L,SMPCREFB5_5,FB5O,Traced,1930,574,1,1,632536517
1042547516,,,,Traced,53,96,1,1,65267840
1043143311,PVLP002_R,,PVLP002,Traced,2719,1199,2,4,1838159734
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,22,23,2079662476
1070107554,FB5R_L,FB5,FB5R,Traced,1668,253,1,1,455764069
1074139202,,,,Traced,69,156,3,3,153777316
1074160773,,,,Traced,243,446,2,1,406671742
1074165128,,,,Traced,169,336,1,3,356049608
1104824502,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,401,86,12,2,164456913
1105178295,AVLP162_R,,AVLP162,Traced,827,411,2,1,983324004
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,3,7,1375874653
1105955480,FB6A_L,SMPSIPFB6_1,FB6A,Traced,3645,2209,19,7,3018310913
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,6,2,1390563331
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,4,3,177730173
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,46,81,1198248632
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,2,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,38,4,814085663
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,1,1,795222199
1167710795,,,,Assign,3,3,3,3,1052270
1168055653,ER3w_b(ring)_L,,ER3w_b,Traced,904,302,98,2,438796749
1168059541,TuBu_L,,,Traced,60,75,60,75,41874347
1168059980,,,,Assign,1,2,1,2,545306
1168064364,,,,Traced,3,9,3,9,7557714
1168064774,ER2_c(ring)_L,,ER2_c,Traced,1406,475,80,4,671313309
1168068773,,,,Traced,33,31,33,29,20918357
1168068797,,,,Traced,3,6,3,6,3172371
1168392003,ER3w_b(ring)_L,,ER3w_b,Traced,917,292,89,2,459211674
1168392468,ER3w_b(ring)_L,,ER3w_b,Traced,909,306,53,4,441292208
1168397052,TuBu_L,,,Traced,43,41,43,41,26102730
1168405253,TuBu_L,,,Traced,33,43,33,43,25958883
1168406151,,,,Assign,2,3,2,3,896438
1168410388,,,,Traced,1,3,1,3,1446705
1168746853,,,,Traced,40,48,40,48,32212540
1198077454,,,,Traced,43,7,2,2,5578237
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,73,117,1472264855
1198334861,ER2_a(ring)_L,,ER2_a,Traced,1303,443,74,3,581385780
1198413040,TuBu_L,,,Traced,52,53,52,53,31616763
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,82,3,630315706
1198667367,ER2_c(ring)_L,,ER2_c,Traced,1497,512,103,2,724395978
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,92,2,671245779
1198680122,ER2_a(ring)_L,,ER2_a,Traced,1400,463,78,1,613049939
1198680249,ER2_a(ring)_L,,ER2_a,Traced,1334,452,51,1,612229380
1198680426,ER2_d(ring)_L,,ER2_d,Traced,1275,411,67,1,578940117
1198684596,ER2_a(ring)_L,,ER2_a,Traced,1267,449,51,1,549789390
1198749309,,,,Assign,1,2,1,2,1443184
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,96,30,961787424
1198754160,TuBu_L,,,Traced,50,54,50,54,37585483
1199086155,TuBu_L,,,Traced,57,61,57,61,36415583
1199086313,ER3p_a(ring)_L,,ER3p_a,Traced,845,294,76,5,481504230
1199090757,,,,Assign,9,2,9,2,1564894
1199094876,,,,Assign,1,3,1,3,1738950
1199099000,TuBu_L,,,Traced,37,47,37,47,31995887
1199099840,,,,Assign,2,2,2,2,1029314
1199103913,,,,Orphan,5,7,5,7,4244608
1199383847,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,467,143,3,2,256856618
1199427845,ER3w_b(ring)_L,,ER3w_b,Traced,833,302,69,10,466674064
1199427901,TuBu_L,,,Traced,55,61,55,61,44989431
1199432192,TuBu_L,,,Traced,25,45,25,45,26496030
1199432267,ER3w_a(ring)_L,,ER3w_a,Traced,1065,323,65,1,482346931
1199435659,TuBu_L,,,Traced,42,37,42,37,26643579
1199436132,TuBu_L,,,Traced,52,31,52,31,22576287
1199440291,,,,Traced,26,2,26,2,17157955
1199440912,,,,Traced,61,65,61,65,39377799
1199712272,ER2_c(ring)_L,,ER2_c,Traced,1574,477,85,2,663224623
1199781022,,,,Traced,33,4,33,4,18586162
1199781928,,,,Orphan,8,6,8,6,2652291
1199785541,,,,Assign,2,2,2,2,1056747
1200057627,ER5(ring)_L,,ER5,Traced,831,509,82,1,632645096
1200122722,,,,Traced,3,3,3,3,2375465
1200126958,,,,Traced,1,3,1,3,809125
1225951007,hDeltaK_07_C6b,EBFB34D5FB6,hDeltaK,Traced,772,237,43,17,591343919
1229447349,TuBu_L,,,Traced,65,56,65,56,39396179
1229447894,,,,Assign,2,2,2,2,434518
1229710803,ER2_b(ring)_L,,ER2_b,Traced,1056,342,70,1,489584417
1229784715,,,,Assign,2,2,2,1,500802
1229789065,TuBu_L,,,Traced,52,58,52,58,39902536
1229793161,TuBu_L,,,Traced,39,50,39,50,32097283
1229797728,,,,Assign,1,2,1,2,1752272
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,4,1,777031418
1230121634,ER3w_a(ring)_L,,ER3w_a,Traced,1169,359,73,1,520348492
1230125667,TuBu_L,,,Traced,86,78,86,78,59375949
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,86,3,419079858
1230129442,TuBu_L,,,Traced,47,47,47,47,28488675
1230134123,,,,Traced,5,10,5,10,10411883
1230134666,TuBu_L,,,Traced,36,43,36,43,24751496
1230457693,,,,Assign,7,2,7,2,755646
1230466972,TuBu_L,,,Traced,38,42,38,42,24515165
1230467076,TuBu_L,,,Traced,57,66,57,66,38698145
1230475939,,,,Traced,42,1,42,1,11701554
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,41,1,714272277
1230738118,ER5(ring)_L,,ER5,Traced,942,582,59,1,748275083
1230742431,ER5(ring)_L,,ER5,Traced,833,549,97,4,664568996
1230808253,TuBu_L,,,Traced,36,53,36,53,32787696
1230812483,TuBu_L,,,Traced,37,39,37,39,25349754
1230817166,,,,Traced,46,36,46,36,22949377
1230820888,,,,Traced,2,5,2,5,2834442
1230820988,,,,Traced,23,14,23,14,11239146
1231066741,ER5(ring)_L,,ER5,Traced,908,532,67,1,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,65,1,727012684
1231148440,TuBu_L,,,Traced,45,51,45,51,26453227
1231156862,,,,Assign,1,2,1,2,812554
1231157822,TuBu_L,,,Traced,30,83,30,83,79784703
1231161650,,,,Traced,1,4,1,4,1232026
1231161873,,,,Traced,9,6,8,6,5686966
1254947903,FB1F_L,SMPSIPFB1d,FB1F,Traced,891,294,5,1,462757721
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,1412316280
