id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,BU(R) #post,BU(R) #pre,#voxels
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,15,19,32,39,1838016114
667241165,SMP192_R,,SMP192,Traced,1173,486,4,2,4,3,1254196663
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,148,256,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,569,12,1122,14,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,518,9,813,14,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,134,279,105,352,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,505,16,1367,12,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,607,12,1452,17,3339909507
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,112,172,245,221,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,161,191,205,246,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,164,186,276,282,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,10,2,4,3,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,8,7,52,41,1935836510
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,22,23,29,28,2079662476
1072063538,DNp27_R,,DNp27,Traced,6792,2658,2,,,11,16654541697
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,3,7,8,8,1375874653
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,46,81,87,211,1198248632
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,73,117,95,198,1472264855
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,1,22,1412316280
1354951374,,,,Traced,68,78,4,4,,1,211741494
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,86,139,131,201,1184449527
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,25,31,32,53,1931391198
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,149,197,246,289,1770276774
