id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,EB #post,EB #pre,#voxels
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,15,19,1686,433,1838016114
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,1560,601,1165397767
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,2,1,,1,493818064
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,569,12,6796,1406,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,518,9,7117,1212,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,134,279,1235,1188,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,505,16,6369,1328,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,607,12,6309,1261,3339909507
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,8,7,1757,457,1935836510
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,54,21,72,1,658035288
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,1217,1160,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,22,23,1613,451,2079662476
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,1,,1255,374,1949749132
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,3,7,2917,406,1375874653
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,46,81,1541,677,1198248632
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,2,2,1835,524,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,38,4,1874,546,814085663
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,1,1,2018,601,795222199
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,3,,1866,517,773720688
1168055653,ER3w_b(ring)_L,,ER3w_b,Traced,904,302,98,2,804,299,438796749
1168059800,ER2_c(ring)_L,,ER2_c,Traced,1479,467,78,,1398,465,609720127
1168064774,ER2_c(ring)_L,,ER2_c,Traced,1406,475,80,4,1326,471,671313309
1168392003,ER3w_b(ring)_L,,ER3w_b,Traced,917,292,89,2,823,286,459211674
1168392468,ER3w_b(ring)_L,,ER3w_b,Traced,909,306,53,4,850,299,441292208
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,73,117,1515,652,1472264855
1198334861,ER2_a(ring)_L,,ER2_a,Traced,1303,443,74,3,1227,440,581385780
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,82,3,1239,456,630315706
1198667367,ER2_c(ring)_L,,ER2_c,Traced,1497,512,103,2,1392,508,724395978
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,92,2,1357,468,671245779
1198675740,ER2_c(ring)_L,,ER2_c,Traced,1276,421,78,,1198,419,626796734
1198680122,ER2_a(ring)_L,,ER2_a,Traced,1400,463,78,1,1321,462,613049939
1198680249,ER2_a(ring)_L,,ER2_a,Traced,1334,452,51,1,1281,451,612229380
1198680426,ER2_d(ring)_L,,ER2_d,Traced,1275,411,67,1,1202,410,578940117
1198680441,ER2_d(ring)_L,,ER2_d,Traced,1144,397,66,,1076,396,560572486
1198684596,ER2_a(ring)_L,,ER2_a,Traced,1267,449,51,1,1213,448,549789390
1199017128,ER2_b(ring)_L,,ER2_b,Traced,1155,370,83,,1071,370,496692805
1199086313,ER3p_a(ring)_L,,ER3p_a,Traced,845,294,76,5,755,282,481504230
1199427845,ER3w_b(ring)_L,,ER3w_b,Traced,833,302,69,10,763,290,466674064
1199431561,ER3w_a(ring)_L,,ER3w_a,Traced,1007,313,71,,932,313,486625039
1199432267,ER3w_a(ring)_L,,ER3w_a,Traced,1065,323,65,1,1000,322,482346931
1199699496,ER2_c(ring)_L,,ER2_c,Traced,1470,510,77,,1385,508,687083103
1199712272,ER2_c(ring)_L,,ER2_c,Traced,1574,477,85,2,1485,473,663224623
1200049187,ER5(ring)_L,,ER5,Traced,909,583,30,,868,581,672605086
1200057627,ER5(ring)_L,,ER5,Traced,831,509,82,1,743,507,632645096
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,1,,163,4,571937645
1229710803,ER2_b(ring)_L,,ER2_b,Traced,1056,342,70,1,983,341,489584417
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,4,1,1939,580,777031418
1230121634,ER3w_a(ring)_L,,ER3w_a,Traced,1169,359,73,1,1088,358,520348492
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,86,3,814,288,419079858
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,41,1,1453,465,714272277
1230738118,ER5(ring)_L,,ER5,Traced,942,582,59,1,881,581,748275083
1230738163,ER3a_c(ring)_L,,ER3a_c,Traced,729,251,2,,714,250,360042168
1230742431,ER5(ring)_L,,ER5,Traced,833,549,97,4,734,543,664568996
1231066741,ER5(ring)_L,,ER5,Traced,908,532,67,1,841,530,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,65,1,737,571,727012684
1231070863,ER5(ring)_L,,ER5,Traced,922,549,52,,868,547,718636091
1231079482,ER5(ring)_L,,ER5,Traced,990,586,87,,901,586,763300993
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,2311,438,1412316280
1260422110,ER2_b(ring)_L,,ER2_b,Traced,1127,365,48,2,1077,363,509412854
1260828727,ER3p_a(ring)_L,,ER3p_a,Traced,825,284,79,,738,281,467398570
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,2,1,1985,573,720375603
1261082560,ER3d_c(ring)_L,,ER3d_c,Traced,1244,310,99,3,1124,300,489057745
1261086755,ER3d_a(ring)_L,,ER3d_a,Traced,1256,317,79,1,1161,307,478005108
1261086823,ER3d_c(ring)_L,,ER3d_c,Traced,1184,324,70,1,1100,318,463812051
1261086863,ER3d_a(ring)_L,,ER3d_a,Traced,1224,371,15,2,1198,358,485081929
1261091124,ER3d_a(ring)_L,,ER3d_a,Traced,1180,361,87,,1082,352,538435456
1261091157,ER3d_c(ring)_L,,ER3d_c,Traced,1167,314,99,1,1049,307,448559244
1261091174,ER3d_a(ring)_L,,ER3d_a,Traced,1209,343,62,3,1127,334,480597935
1261169514,ER3p_a(ring)_L,,ER3p_a,Traced,888,319,77,4,800,313,456720664
1261423480,ER3d_c(ring)_L,,ER3d_c,Traced,1117,306,54,,1053,302,436452058
1261427857,ER3d_a(ring)_L,,ER3d_a,Traced,1229,362,72,1,1139,346,507377955
1261427892,ER3d_d(ring)_L,,ER3d_d,Traced,1052,302,68,,966,296,421064856
1261427999,ER3d_d(ring)_L,,ER3d_d,Traced,1016,281,55,2,943,275,427621763
1261432052,ER3d_d(ring)_L,,ER3d_d,Traced,1072,308,77,2,985,303,408158416
1261432076,ER3d_b(ring)_L,,ER3d_b,Traced,1092,294,99,1,973,287,395209851
1261432159,ER3d_b(ring)_L,,ER3d_b,Traced,1103,294,77,4,999,284,413438615
1261751722,ER5(ring)_L,,ER5,Traced,921,595,77,2,843,592,698507725
1261760225,ER3a_a(ring)_L,,ER3a_a,Traced,655,180,2,,647,180,256916591
1261764651,ER3m(ring)_L,,ER3m,Traced,863,236,14,1,829,225,375382737
1262105601,ER3a_a(ring)_L,,ER3a_a,Traced,666,232,1,1,658,221,304896212
1291780631,ER3m(ring)_L,,ER3m,Traced,957,340,33,3,907,326,467326307
1291780710,ER3m(ring)_L,,ER3m,Traced,980,339,5,1,972,331,434835505
1292113218,ER3d_a(ring)_L,,ER3d_a,Traced,1092,352,39,3,1037,338,483972181
1292445517,ER3d_b(ring)_L,,ER3d_b,Traced,975,291,85,2,868,283,389186608
1292458303,ER3d_b(ring)_L,,ER3d_b,Traced,1010,304,87,2,900,297,429372106
1292458366,ER3d_d(ring)_L,,ER3d_d,Traced,1078,292,70,1,998,288,394513936
1292799346,ER3m(ring)_L,,ER3m,Traced,924,333,1,2,901,327,449128238
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,2,,1808,552,793818583
1322142804,ER1_b(ring)_L,,ER1_b,Traced,158,88,1,,154,83,103711026
1322470509,ER3p_a(ring)_L,,ER3p_a,Traced,888,311,52,2,825,308,483419657
1322470594,ER3p_a(ring)_L,,ER3p_a,Traced,839,301,100,3,725,292,454009178
1322811128,ER3p_b(ring)_L,,ER3p_b,Traced,1031,348,122,5,891,335,432036907
1322811160,ER3p_b(ring)_L,,ER3p_b,Traced,1038,317,114,2,902,309,424647554
1322811232,ER3p_b(ring)_L,,ER3p_b,Traced,973,340,126,7,833,330,453208049
1354951374,,,,Traced,68,78,4,4,38,23,211741494
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,26,2,1891,553,783143047
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,86,139,1505,598,1184449527
