id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
203594164,,,,Traced,1026,118,1,,3,1,752506298
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,258,463,5638174363
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,15,19,70,47,1838016114
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,2,,153,115,661247098
614081151,FB5A_R,LALCREFB5,FB5A,Traced,5503,1054,2,,1290,1,2383963952
667241165,SMP192_R,,SMP192,Traced,1173,486,4,2,244,194,1254196663
707539688,FB5A_R,LALCREFB5,FB5A,Traced,5980,1099,4,,1472,3,2445429216
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,180,123,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,569,12,535,40,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,518,9,403,31,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,134,279,13,7,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,505,16,795,40,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,607,12,707,42,3339909507
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,7,3,43,4,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,112,172,4,8,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,161,191,7,3,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,164,186,9,8,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,10,2,147,67,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,8,7,52,41,1935836510
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,1,,9,11,4703423471
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,1440,157,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,22,23,68,50,2079662476
1072063538,DNp27_R,,DNp27,Traced,6792,2658,2,,10,23,16654541697
1076185604,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,959,138,3,,3,3,284621817
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,3,7,96,160,1375874653
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,46,81,168,120,1198248632
1166674437,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,847,134,2,,7,2,175162270
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,73,117,804,144,1472264855
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,92,177,1412316280
1354951374,,,,Traced,68,78,4,4,3,7,211741494
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,86,139,550,132,1184449527
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,4,1,4,4,291314908
1572390197,LAL074_R,SpVeL-LSpIp(c)1,LAL074,Traced,5490,41,1,2,3232,20,1921960807
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,25,31,11,7,1931391198
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,5,2,1,7,3486100136
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,149,197,11,3,1770276774
