id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,6917059458
357224041,LHPV5l1_R,,LHPV5l1,Traced,3696,1252,1,17,2184662669
358593042,SMP292_R,,SMP292,Traced,908,386,20,6,938899817
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,3,3,5117109108
417221397,SMP238_R,,SMP238,Traced,1837,1162,7,27,2118638793
449975227,SMP293_R,,SMP293,Traced,845,395,5,1,850584484
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,32,39,1838016114
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,1823088730
613040803,CRE049_R,,CRE049,Traced,2229,750,1,1,1511757943
667241165,SMP192_R,,SMP192,Traced,1173,486,4,3,1254196663
673746538,SMP018_a_R,,SMP018_a,Traced,731,136,1,1,457727412
760021137,SMP016_b_R,,SMP016_b,Traced,573,151,1,3,513719955
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,148,256,1165397767
825822254,LAL030_b_R,,LAL030_b,Traced,698,182,1,1,366896016
894702888,LAL013_R,,LAL013,Traced,2190,934,6,5,1654988582
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,1122,14,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,813,14,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,105,352,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,1367,12,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,1452,17,3339909507
954679716,TuBu07_SBU_R,,TuBu07,Traced,416,73,62,71,297871312
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,245,221,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,205,246,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,276,282,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,4,3,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,4,8,1439854944
1015385741,TuBu03_IBU_R,,TuBu03,Traced,210,86,27,84,266973831
1015700298,TuBu03_IBU_R,,TuBu03,Traced,254,90,22,88,237702088
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,29,28,2079662476
1046726261,TuBu01_ABU_R,,TuBu01,Traced,577,136,49,133,392624531
1046735096,TuBu05_SBU_R,,TuBu05,Traced,640,86,4,85,413801745
1047421689,TuBu06_SBU_R,,TuBu06,Traced,1129,114,19,94,558820653
1047426385,TuBu01_ABU_R,,TuBu01,Traced,525,119,51,89,366681305
1077434447,TuBu03_IBU_R,,TuBu03,Traced,248,67,12,66,203311567
1077459077,TuBu01_ABU_R,,TuBu01,Traced,441,118,61,117,382028749
1077459090,TuBu01_ABU_R,,TuBu01,Traced,423,126,60,117,321595901
1077752379,TuBu08_SBU_R,,TuBu08,Traced,488,101,51,93,262040862
1077778701,TuBu03_IBU_R,,TuBu03,Traced,209,76,20,75,213932377
1077778869,TuBu03_IBU_R,,TuBu03,Traced,177,75,17,75,222762156
1077783627,TuBu03_IBU_R,,TuBu03,Traced,233,78,34,76,270162719
1078443080,TuBu10_SBU_R,,TuBu10,Traced,393,83,60,76,236343396
1078447660,TuBu09_SBU_R,,TuBu09,Traced,308,60,49,60,204192875
1105839176,TuBu09_SBU_R,,TuBu09,Traced,296,66,50,47,233928918
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,8,8,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,74,2,972418076
1108152508,TuBu04_IBU_R,,TuBu04,Traced,232,84,37,84,249318235
1108166986,TuBu02_IBU_R,,TuBu02,Traced,175,82,18,59,239818604
1108459071,TuBu02_IBU_R,,TuBu02,Traced,189,90,15,87,244890241
