id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,EB #post,EB #pre,#voxels
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,1,,3892,346,1469716322
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,7,,13,25,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,32,39,1686,433,1838016114
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,24,5,1823088730
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,148,256,1560,601,1165397767
858587718,ExR6(ring)_R,,ExR6,Traced,9255,2395,5,,4203,1929,4204033525
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,1122,14,6796,1406,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,813,14,7117,1212,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,105,352,1235,1188,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,1367,12,6369,1328,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,1452,17,6309,1261,3339909507
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,1757,457,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,4,8,2088,416,1439854944
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,148,474,1217,1160,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,29,28,1613,451,2079662476
1105834722,ER2_c(ring)_R,,ER2_c,Traced,1508,520,91,,1403,518,1078200690
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,8,8,2917,406,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,74,2,1321,462,972418076
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,8,9,,1,592330392
1136861363,ER2_c(ring)_R,,ER2_c,Traced,1524,457,98,3,1413,453,1057527061
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,87,211,1541,677,1198248632
1137210821,ER2_c(ring)_R,,ER2_c,Traced,1460,456,98,1,1355,455,985250752
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,88,6,1239,416,972567243
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,108,11,1909,530,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,138,5,1830,519,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,106,8,1946,568,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,109,3,1912,542,1166760517
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,92,1,1284,445,943354421
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,141,2,1103,371,876571829
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,115,9,1899,575,1211989816
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,170,2,1484,910,1876942269
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,152,1,1417,510,1028415501
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,127,11,1989,597,1292065740
1167895489,ER2_c(ring)_R,,ER2_c,Traced,1557,484,116,2,1437,482,1108231944
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,105,1,1331,479,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,106,3,1442,461,1009871327
1168241257,ER2_c(ring)_R,,ER2_c,Traced,1489,440,117,2,1369,438,984757343
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,101,2,1170,368,857061165
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,88,5,1139,378,841422242
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,128,3,1186,436,986089181
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,158,5,1527,909,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,95,198,1515,652,1472264855
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,116,6,1798,548,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,127,9,2079,578,1174302319
1198943369,ER2_d(ring)_R,,ER2_d,Traced,1277,419,69,2,1201,416,861525206
1199289203,ER3w_a(ring)_R,,ER3w_a,Traced,1036,309,100,2,931,307,737141935
1199625952,ER3w_b(ring)_R,,ER3w_b,Traced,1042,308,117,4,923,302,688664664
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,7,1,4,2,1746881001
1229288307,ER3p_a(ring)_R,,ER3p_a,Traced,789,313,60,3,714,307,684820968
