id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,3576,2111,6917059458
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,1,,26,1,1469716322
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,7,,1581,1726,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,32,39,498,466,1838016114
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,1101,873,1823088730
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,148,256,,2,1165397767
819440815,FR1(FQ4)_C1_L,,FR1,Traced,2297,242,1,,1822,4,497907047
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,1,,2887,3,981759380
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,1122,14,695,90,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,813,14,649,90,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,105,352,3695,1698,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,1367,12,612,82,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,1452,17,841,83,3339909507
977006924,FB5Z_R,SMPCREFB5_9,FB5Z,Traced,1304,343,1,,496,317,735938142
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1,,1930,692,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,245,221,105,29,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,205,246,2,2,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,276,282,115,27,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,4,3,355,116,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,654,551,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,4,8,9,13,1439854944
1009375310,FB7H_R,SMPFB7,FB7H,Traced,2114,431,1,,1973,429,842366522
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,148,474,3598,1723,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,29,28,695,463,2079662476
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,3,,2599,777,2142474039
1109158650,TuBu04_IBU_R,,TuBu04,Traced,251,72,21,68,1,4,240789014
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,3,,2054,2395,2860197903
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,8,9,2163,359,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,87,211,1,1,1198248632
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,88,6,1,1,972567243
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,95,198,1,1,1472264855
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,5,,1328,964,1211327177
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,7,1,916,552,1746881001
1250920325,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,333,70,2,,251,69,139418506
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,1,22,7,3,1412316280
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,94,4,4,1,596231811
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,133,5,6,2,611348841
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,131,64,6190229391
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,3,1,772,482,1501021625
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,1,,416,5,1163111797
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,1,,566,230,515092302
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,32,53,622,485,1931391198
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,246,289,191,40,1770276774
