id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
706862579,CRE059_R,,CRE059,Traced,1466,552,1,,45,29,1186755402
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,148,256,,1,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,1122,14,,1,3151242119
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,105,352,3,1,4148353890
975197713,LAL192_R,,LAL192,Traced,843,568,3,,43,113,786663687
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,148,474,2,2,5331729469
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,108,11,6,4,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,138,5,,1,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,106,8,3,1,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,109,3,1,2,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,115,9,4,1,1211989816
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,127,11,6,3,1292065740
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,116,6,9,3,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,127,9,5,4,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,118,16,8,6,1246980226
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,109,11,4,2,1276005185
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,110,5,4,5,1148479791
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,,1,6190229391
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,122,15,2,2,1182276480
