id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,gL(R) #post,gL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,424,316,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,3,3,4814,1090,5117109108
417221397,SMP238_R,,SMP238,Traced,1837,1162,7,27,18,7,2118638793
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,40,1,1823088730
601725569,KCg-d_R,,KCg-d,Traced,562,227,1,,290,152,333188141
611323175,mALB1_L,,mALB1,Traced,3606,1903,1,,4,1,3507551623
613040803,CRE049_R,,CRE049,Traced,2229,750,1,1,19,9,1511757943
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,4,,5,2,2934178330
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,1367,12,,2,3591373150
984799284,CRE060_R,,CRE060,Traced,844,393,2,,8,1,738647628
1110640084,CRE067_R,,CRE067,Traced,1342,370,3,,234,5,763267727
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,1,,359,206,426294048
1171621682,KCg-d_R,,KCg-d,Traced,642,233,1,,376,171,370508699
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,1,3,4115,979,3658564958
1224137495,KCg-s3_R,,KCg-s3,Traced,1161,409,1,,796,320,637070643
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,3,,549,132,354276543
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,77,35,6190229391
5812979222,ER4d(ring)_R,,ER4d,Traced,2007,573,119,7,,1,1089870136
5813013194,,,,Traced,95,153,1,,,1,670249434
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,246,289,,1,1770276774
