id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,BU(R) #post,BU(R) #pre,#voxels
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,1686,433,32,39,1838016114
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,24,5,9,3,1823088730
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,148,256,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,6796,1406,1122,14,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,7117,1212,813,14,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1235,1188,105,352,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,6369,1328,1367,12,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,6309,1261,1452,17,3339909507
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,1757,457,52,41,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,2088,416,4,8,1439854944
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1613,451,29,28,2079662476
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,2917,406,8,8,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,1321,462,74,2,972418076
1136861363,ER2_c(ring)_R,,ER2_c,Traced,1524,457,1413,453,98,3,1057527061
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,87,211,1198248632
1137210821,ER2_c(ring)_R,,ER2_c,Traced,1460,456,1355,455,98,1,985250752
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,1239,416,88,6,972567243
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1909,530,108,11,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1830,519,138,5,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,1946,568,106,8,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1912,542,109,3,1166760517
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,1284,445,92,1,943354421
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,1103,371,141,2,876571829
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1899,575,115,9,1211989816
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,1484,910,170,2,1876942269
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,1417,510,152,1,1028415501
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,1989,597,127,11,1292065740
1167895489,ER2_c(ring)_R,,ER2_c,Traced,1557,484,1437,482,116,2,1108231944
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,1331,479,105,1,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,1442,461,106,3,1009871327
1168241257,ER2_c(ring)_R,,ER2_c,Traced,1489,440,1369,438,117,2,984757343
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,1170,368,101,2,857061165
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,1139,378,88,5,841422242
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,1186,436,128,3,986089181
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,1527,909,158,5,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1515,652,95,198,1472264855
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,1798,548,116,6,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2079,578,127,9,1174302319
1198943369,ER2_d(ring)_R,,ER2_d,Traced,1277,419,1201,416,69,2,861525206
1199289203,ER3w_a(ring)_R,,ER3w_a,Traced,1036,309,931,307,100,2,737141935
1199625952,ER3w_b(ring)_R,,ER3w_b,Traced,1042,308,923,302,117,4,688664664
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,4,2,7,1,1746881001
1229288307,ER3p_a(ring)_R,,ER3p_a,Traced,789,313,714,307,60,3,684820968
1229369776,ER2_b(ring)_R,,ER2_b,Traced,1110,341,1000,337,104,4,753897910
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1810,547,118,16,1246980226
1230319275,ER3w_a(ring)_R,,ER3w_a,Traced,1009,302,876,298,126,4,733980587
1230324385,ER3w_b(ring)_R,,ER3w_b,Traced,823,282,737,277,82,4,714357173
1230712894,ER5(ring)_R,,ER5,Traced,866,521,778,513,69,7,1055844544
1230712956,ER5(ring)_R,,ER5,Traced,954,528,857,522,88,5,1212416596
1230738237,ER5(ring)_R,,ER5,Traced,875,528,772,522,94,6,1131747253
1230738247,ER5(ring)_R,,ER5,Traced,998,592,905,582,90,8,1212148019
1230742517,ER5(ring)_R,,ER5,Traced,1058,556,957,553,97,1,1146386786
1230742552,ER5(ring)_R,,ER5,Traced,937,566,863,562,74,3,1191713719
1231066662,ER5(ring)_R,,ER5,Traced,961,610,885,601,73,5,1170428657
1231066732,ER5(ring)_R,,ER5,Traced,907,542,802,537,88,3,1147679231
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,2311,438,1,22,1412316280
1260327246,ER3p_b(ring)_R,,ER3p_b,Traced,926,308,805,294,91,8,609806834
1260400286,ER3w_a(ring)_R,,ER3w_a,Traced,1027,300,896,296,127,4,778456809
1260754053,ER3w_a(ring)_R,,ER3w_a,Traced,1010,312,912,311,91,1,805523804
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,2006,557,109,11,1276005185
1261086734,ER3d_a(ring)_R,,ER3d_a,Traced,1344,357,1195,344,127,2,721497443
1261086756,ER3d_a(ring)_R,,ER3d_a,Traced,1281,358,1154,341,104,3,682688537
1261419142,ER3d_c(ring)_R,,ER3d_c,Traced,1195,320,1062,307,103,4,682692254
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,1146,335,81,1,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,1107,352,110,1,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,1148,336,140,4,727214630
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,1009,308,128,5,635382116
1261423534,ER3d_d(ring)_R,,ER3d_d,Traced,1187,317,1062,308,100,4,648201843
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,1116,315,118,1,741793195
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,885,268,94,4,596231811
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,878,283,100,5,572586665
1261432168,ER3d_d(ring)_R,,ER3d_d,Traced,1088,328,945,307,120,11,591625826
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,1191,357,105,3,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,1179,349,94,4,680933989
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,1100,337,128,5,699809561
1261760187,ER3d_c(ring)_R,,ER3d_c,Traced,1163,321,989,310,144,5,690086716
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,644,225,48,9,472529807
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,962,299,121,6,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,978,310,137,2,568507214
1261768913,ER3m(ring)_R,,ER3m,Traced,1078,362,1007,345,54,5,633547676
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,641,239,78,4,462734560
1261773304,ER3d_d(ring)_R,,ER3d_d,Traced,1134,300,1003,296,98,2,657613914
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,911,305,112,5,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,675,248,34,2,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,650,190,77,3,457061603
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,873,234,54,1,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,838,242,56,4,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,783,213,52,2,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,1042,278,105,5,671179407
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,892,313,146,5,661036009
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,724,280,91,3,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,869,287,65,4,616393513
1292121433,ER3d_d(ring)_R,,ER3d_d,Traced,1138,310,993,300,119,4,638846821
1292466818,ER3d_d(ring)_R,,ER3d_d,Traced,1084,311,951,303,102,4,601214765
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,886,268,58,2,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,909,309,78,9,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,936,266,64,1,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,901,311,107,8,680157635
1292847181,ER4m(ring)_R,,ER4m,Traced,1702,921,1558,916,143,5,1630290346
1293136062,ER3a_a(ring)_R,,ER3a_a,Traced,706,206,583,194,103,7,462829419
1322474586,ER3p_a(ring)_R,,ER3p_a,Traced,873,293,787,283,69,5,639550959
1322811240,ER3p_a(ring)_R,,ER3p_a,Traced,925,314,816,303,90,6,697431632
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,903,323,133,5,611348841
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1876,536,110,5,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,487,314,36,24,1016271341
