id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,FB #post,FB #pre,#voxels
203598499,FB8H_L,SMPSLPFB8,FB8H,Traced,633,289,1,,348,275,546402307
295136778,FB8A_R,SLPSMPFB8_1,FB8A,Traced,667,308,2,,269,304,957819355
295473813,SAF(FB9)_R,SlpAF,SAF,Traced,513,97,4,2,209,60,529070298
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,559,233,3,2,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,3892,346,26,1,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,3482,244,24,1,1169220265
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,3960,270,9,1,1290806813
483245369,FB1G_L,SMPSIPFB1d3,FB1G,Traced,2144,1854,14,25,1474,1760,2238363747
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,636,294,,1,801363719
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,13,25,1581,1726,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,1686,433,498,466,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,3477,209,20,2,1262283600
571140165,hDeltaK_04_C4,EBFB34D5FB6,hDeltaK,Traced,997,233,117,,875,232,664579972
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,24,5,1101,873,1823088730
579420623,FB5Y_L,SMPSIPFB5d_2,FB5Y,Traced,1281,523,1,,907,519,772907348
633546217,EPG(PB08)_R4,EPG,EPG,Traced,3200,413,2879,205,24,3,946141479
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,2988,227,34,2,1313237477
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,3148,265,11,2,1249529709
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,1,,2275,126,873271854
667754178,FB2J_L,SMPPLPFB2,FB2J,Traced,629,233,1,,549,232,441828077
667931999,FB2I_a_R,SMPATLFB2,FB2I_a,Traced,1560,679,1,1,1299,664,1434351677
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,675,316,4,16,916318576
695956656,EPG(PB08)_R4,EPG,EPG,Traced,3738,464,3411,222,28,4,1139686992
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,3043,236,21,2,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,4534,1028,25,4,1281064545
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,3659,234,31,2,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,19,5,39,38,5702733325
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,694,323,1,2,838679464
725942718,EL(EQ5)_R,EBGAs,EL,Traced,5071,927,5061,915,5,2,1343378417
725951521,EPG(PB08)_R5,EPG,EPG,Traced,3479,415,3189,218,28,1,1113260436
725951660,EL(EQ5)_R,EBGAs,EL,Traced,5025,1135,4884,1097,128,28,1322049874
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,1,1,2161,534,1097656982
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,4250,873,39,10,1178553443
761203947,FB2J_L,SMPPLPFB2,FB2J,Traced,615,312,1,,581,309,503952956
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,,2,1165397767
789070314,hDeltaK_07_C6c,EBFB34D5FB6,hDeltaK,Traced,812,251,24,,775,251,670925904
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,2647,225,8,1,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2847,218,2,2,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,4418,894,34,3,1326450645
848761388,PEG(PB07)_R1,PEG,PEG,Traced,895,89,180,87,2,1,521118259
849059197,hDeltaK_03_C3,EBFB34D5FB6,hDeltaK,Traced,1021,273,110,,883,265,759012345
859714144,FB4Q_a_L,CRESMPFB4_5,FB4Q_a,Traced,1663,710,1,,1023,700,824119372
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,425,214,,4,600285827
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,211,134,3,1,708615708
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,257,112,16,1,720534350
884916654,FB7L_R,SMPSIPFB7_4,FB7L,Traced,1874,497,1,,1083,489,1187570951
911578041,hDeltaK_12_C10,EBFB34D5FB6,hDeltaK,Traced,954,308,49,,899,307,709214034
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,3850,812,36,9,1264795351
