id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,LAL(L) #post,LAL(L) #pre,#voxels
669965108,CRE076_R,,CRE076,Traced,2873,1348,4,,22,11,2190715571
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,,1,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,6796,1406,,1,3151242119
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1235,1188,3,1,4148353890
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,6,,14,16,761416202
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,2,2,5331729469
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,10,,17,12,745793303
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,14,,15,11,639370086
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,1835,524,3,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,1874,546,5,1,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,2184,606,5,3,786241461
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1909,530,6,4,1212692476
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,2018,601,7,2,795222199
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1830,519,,1,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,1946,568,3,1,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1912,542,1,2,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1899,575,4,1,1211989816
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,1866,517,4,5,773720688
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,1989,597,6,3,1292065740
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,1603,481,3,1,670334136
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,1798,548,9,3,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2079,578,5,4,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1810,547,8,6,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1939,580,5,3,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,1830,534,6,1,760123557
1231066741,ER5(ring)_L,,ER5,Traced,908,532,841,530,,1,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,737,571,,1,727012684
1231070863,ER5(ring)_L,,ER5,Traced,922,549,868,547,1,1,718636091
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,2006,557,4,2,1276005185
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1985,573,1,1,720375603
1291103485,ER1_a(ring)_L,,ER1_a,Traced,368,189,364,186,1,1,224377538
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,1808,552,4,1,793818583
1322129724,ER1_b(ring)_L,,ER1_b,Traced,482,201,474,198,3,1,244246188
1322129730,ER1_b(ring)_L,,ER1_b,Traced,509,202,504,200,1,1,235331267
1322133531,ER1_b(ring)_L,,ER1_b,Traced,468,189,462,186,4,1,234150609
1322142804,ER1_b(ring)_L,,ER1_b,Traced,158,88,154,83,2,2,103711026
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1876,536,4,5,1148479791
1353168228,ER1_b(ring)_L,,ER1_b,Traced,211,82,203,69,3,3,105050398
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,1891,553,7,3,783143047
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,,1,6190229391
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,1847,565,2,2,1182276480
1634218160,,,,Orphan,5,7,5,6,,1,3979016
1879095788,,,,Traced,128,234,1,,18,26,361603980
5813022925,FB4L(PPM3-FB3/4-DAN)_L,LALSIPFB4,FB4L,Traced,987,561,10,1,,1,1147606193
