id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,LAL(R) #post,LAL(R) #pre,#voxels
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,3892,346,157,85,1469716322
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,4070,324,160,80,1356917252
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,13,25,404,1,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,1686,433,70,47,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,3477,209,144,75,1262283600
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,4430,270,180,93,1495976797
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,24,5,512,54,1823088730
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,2988,227,124,72,1313237477
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,3148,265,132,66,1249529709
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,1,,2,1,873271854
669965108,CRE076_R,,CRE076,Traced,2873,1348,4,,127,41,2190715571
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,3043,236,145,75,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,4534,1028,179,39,1281064545
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,3659,234,138,61,1220895242
697316795,ATL029_R,CL-AtIb(b)3,ATL029,Traced,2237,455,1,,761,80,989660841
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,1,1,52,9,1097656982
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,4250,873,175,34,1178553443
736830579,CRE008_R,,CRE008,Traced,822,242,1,,110,29,609687971
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,3801,317,128,76,1367317453
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,180,123,1165397767
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,2857,195,127,65,871873631
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,2647,225,140,67,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2847,218,156,89,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,4418,894,184,54,1326450645
858587718,ExR6(ring)_R,,ExR6,Traced,9255,2395,4203,1929,4182,391,4204033525
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,211,134,149,101,708615708
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,257,112,179,108,720534350
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,3798,283,121,64,1279652378
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,3850,812,190,48,1264795351
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,3047,208,132,63,961831095
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,3,,112,435,1310859231
916628962,FB1I_R,SMPSIPFB1d7,FB1I,Traced,1812,394,1,,1,1,1060563413
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,6796,1406,535,40,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,7117,1212,403,31,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1235,1188,13,7,4148353890
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,296,136,163,108,737594409
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,6369,1328,795,40,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,6309,1261,707,42,3339909507
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,266,146,158,116,785035775
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,1757,457,52,41,1935836510
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,220,111,202,90,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,2733,187,132,74,965411401
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,4088,648,171,47,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,2088,416,86,171,1439854944
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,1,,2,8,513227795
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,1109,298,579,3,2716937442
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,3804,252,121,80,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,1440,157,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,4078,805,183,58,1219998811
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1613,451,68,50,2079662476
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,245,125,129,85,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,2937,188,111,63,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,3853,751,203,48,1067970589
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,2917,406,96,160,1375874653
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,3001,211,106,70,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,183,100,156,86,586585085
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,168,120,1198248632
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,4669,775,214,53,1233512438
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1830,519,,1,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,1946,568,,1,1125394909
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,1484,910,10,1,1876942269
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,3475,234,144,68,960598574
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,4204,722,164,52,1175399808
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,120,9,55,7,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,122,11,49,8,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,3529,240,131,81,1000269781
1169260589,ER3a_c(ring)_R,,ER3a_c,Traced,954,253,739,239,151,8,581712518
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,310,134,143,90,718304874
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,2,2,4,9,454288161
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1515,652,804,144,1472264855
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,147,91,149,99,435112897
1224590555,FB3C_R,LALSMPFB3,FB3C,Traced,720,182,17,,90,1,588548829
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,4,2,247,15,1746881001
1231066662,ER5(ring)_R,,ER5,Traced,961,610,885,601,,2,1170428657
1231675708,ER3a_b(ring)_R,,ER3a_b,Traced,855,241,689,240,124,1,542446051
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,2311,438,92,177,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,1276,5,41,90,1170924542
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,644,225,57,2,472529807
1261768644,ER3a_c(ring)_R,,ER3a_c,Traced,995,277,851,272,129,2,603498874
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,641,239,17,1,462734560
