id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,NO #post,NO #pre,#voxels
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,559,233,365,105,686693145
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,814,451,505,130,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,636,294,474,133,801363719
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,520,217,388,89,603871773
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,595,239,358,92,777549043
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,958,465,330,98,980591420
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,24,5,403,177,1823088730
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,817,433,747,151,1013921359
663190769,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1716,436,659,319,488,115,784365297
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,577,222,336,91,668330517
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,679,313,432,90,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,436,222,375,93,428103635
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,675,316,386,88,916318576
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,694,323,428,127,838679464
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,597,315,355,97,719023584
847336755,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1567,412,670,314,390,98,782298170
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,806,334,575,142,989164827
849482511,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1591,438,650,353,368,84,737349791
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,425,214,406,102,600285827
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,846,471,462,103,1015212407
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,548,253,252,77,658115021
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,768,403,462,106,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,742,310,317,87,832431327
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,787,462,560,148,1065119131
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,1109,298,354,45,2716937442
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,773,335,567,125,994963622
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,1255,374,409,53,1949749132
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,885,461,584,136,1146383370
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,853,430,633,143,866409069
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,1,,1,1,177730173
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,35,21,24,28,4308407118
1197993940,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1496,327,470,240,333,83,597758855
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,457,206,394,93,706646004
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,805,385,658,175,1008550189
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,899,466,605,173,883794470
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,482,202,506,104,524380567
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,2,,169,52,1211327177
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,792,301,540,113,839952860
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1,,1442,478,1389645128
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,691,318,646,146,619565622
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,553,275,445,89,467834236
1480084038,LNO1(LAL-NO2b)_L,,LNO1,Traced,1391,502,1,,1382,502,597456784
1508334312,PEN_a(PB06a)_L3,PEN1,PEN_a(PEN1),Traced,1937,604,831,481,567,121,945241267
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,535,215,524,97,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,596,235,383,79,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,659,325,450,112,883989562
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,1047,304,449,62,2846693400
5813047157,PEN_b(PB06b)_L2,PEN2,PEN_b(PEN2),Traced,1966,434,679,317,524,116,809851972
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,108,56,449,170,1798572771
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,657,315,436,108,766389254
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,1033,320,323,56,2082213746
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,745,298,499,101,904493834
5813080979,PEN_a(PB06a)_L5,PEN1,PEN_a(PEN1),Traced,1655,544,748,439,451,105,931602278
