id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,bL(R) #post,bL(R) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1,,10037,18,4356555624
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1,,704,152,403977461
661076014,KCab-c_R,,KCab-c,Traced,417,161,1,,97,45,146679174
846952683,KCab-m_R,,KCab-m,Traced,438,160,1,,106,46,231674849
923013923,KCab-c_R,,KCab-c,Traced,462,181,2,,109,54,144580318
923018290,KCab-m_R,,KCab-m,Traced,474,181,1,,133,60,248557175
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,953,186,367958807
1109223365,KCab-m_R,,KCab-m,Traced,584,192,1,,155,53,175505058
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,,1,1198248632
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,2018,601,,1,795222199
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1939,580,,1,777031418
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,1,,241,53,239327987
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,48,28,6190229391
1451341240,KCab-c_R,,KCab-c,Traced,371,166,1,,122,52,113871309
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,1,,8,2,394753648
