id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,BU(L) #post,BU(L) #pre,#voxels
234292899,FB7M_L,SMPSIPFB7_5,FB7M,Traced,923,187,673,167,4,1,347121784
236331138,FB7G_L,SMPFB78,FB7G,Traced,656,249,600,237,,1,300680878
265120677,FB8A_R,SLPSMPFB8_1,FB8A,Traced,801,266,348,262,6,2,761202336
295136778,FB8A_R,SLPSMPFB8_1,FB8A,Traced,667,308,269,304,,1,957819355
295820069,FB8H_R,SMPSLPFB8,FB8H,Traced,739,367,318,360,,2,1327884259
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,371,107,4,2,378275835
325489440,FB8D_R,SLPSMPFB8_2,FB8D,Traced,1009,155,500,119,5,2,473500434
327398074,SA3_bilateral_L,SlpA,SA3,Traced,214,101,24,12,1,1,153740384
329289084,FB6G_R,SIPSMPFB6_3,FB6G,Traced,1808,868,1079,802,1,2,1571979600
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,,1,6917059458
362507326,FB6M_L,WEDLALFB6,FB6M,Traced,733,306,615,220,6,1,832418315
391155165,FB7G_L,SMPFB78,FB7G,Traced,981,375,907,357,1,1,416497322
422876942,FB6E_L,SIPSMPFB6_2,FB6E,Traced,2152,1260,1919,1230,3,2,1338822383
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,3000,1213,2,1,2357223448
454939928,FB6Y_L,SMPSIPFB6_8,FB6Y,Traced,655,215,554,211,2,2,569928087
483193732,FB8C_L,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1290,272,746,244,3,1,844593401
540112974,hDeltaD_07_C4,FB18D3FB8,hDeltaD,Traced,2395,354,2363,342,28,12,851325995
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,498,466,15,19,1838016114
577373434,FB6B_L,SMPSIPFB6_2,FB6B,Traced,1481,585,1138,575,5,2,786341866
579420623,FB5Y_L,SMPSIPFB5d_2,FB5Y,Traced,1281,523,907,519,,1,772907348
762222901,FB6C_b_L,SIPSMPFB6_1,FB6C_b,Traced,919,845,641,770,4,2,1524038099
828455033,AVLP416_R,,AVLP416,Traced,725,264,2,,,1,778017169
885599260,FB7J_R,FB78,FB7J,Traced,2064,215,2029,214,8,1,717713948
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,1075,264,2,1,493818064
885940052,FB8H_L,SMPSLPFB8,FB8H,Traced,443,247,264,236,1,3,452531833
886281163,hDeltaD_14_C8,FB18D3FB8,hDeltaD,Traced,2150,354,2106,352,39,1,736377876
889414782,FB6N_L,CRESMPFB6_1,FB6N,Traced,2013,585,1776,572,1,1,888012974
911496103,vDeltaA_b(AB)_C9,AF,vDeltaA_b,Traced,280,62,225,58,9,4,144494630
912187099,vDeltaE_C8,FB123D0FB6v,vDeltaE,Traced,928,139,923,138,2,1,307573925
915605750,hDeltaF_07_C3,FB16d7D2FB67,hDeltaF,Traced,2812,373,2804,369,5,3,790097104
915606051,hDeltaL_07_C6,FB26D5FB6d,hDeltaL,Traced,2697,372,2677,368,10,4,803946164
915615087,hDeltaC_07_C6,FB26D7FB6,hDeltaC,Traced,1253,255,1237,253,13,2,552927958
917311067,SAF(FB9)_L,SlpAF,SAF,Traced,335,98,200,52,,1,280703877
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,695,90,569,12,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,649,90,518,9,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3695,1698,134,279,4148353890
946304488,FB5AB_L,SIPCREFB5d,FB5AB,Traced,3049,961,2059,952,4,3,2092899025
946308203,FB6A_R,SMPSIPFB6_1,FB6A,Traced,5470,2266,4046,2023,12,4,4246689748
946641212,FB6D_R,SMPFB6,FB6D,Traced,3680,1403,2577,1231,10,2,3164479350
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,612,82,505,16,3591373150
949045811,FB8B_R,PLPSLPFB8,FB8B,Traced,1347,267,708,249,5,1,1167033698
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,841,83,607,12,3339909507
977335062,FB5B_L,SMPSIPFB5d_1,FB5B,Traced,672,183,535,180,2,2,507248890
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1930,692,7,3,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,105,29,112,172,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,2,2,161,191,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,115,27,164,186,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,355,116,10,2,1224788672
