id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,2,9,6917059458
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,498,466,32,39,1838016114
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,1101,873,9,3,1823088730
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,695,90,1122,14,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,649,90,813,14,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3695,1698,105,352,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,612,82,1367,12,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,841,83,1452,17,3339909507
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,105,29,245,221,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,2,2,205,246,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,115,27,276,282,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,355,116,4,3,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,654,551,52,41,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,9,13,4,8,1439854944
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3598,1723,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,695,463,29,28,2079662476
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,1,,8,8,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,1,,74,2,972418076
1109158650,TuBu04_IBU_R,,TuBu04,Traced,251,72,1,4,21,68,240789014
1110868515,TuBu07_SBU_R,,TuBu07,Traced,405,64,2,,48,42,263557536
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,2163,359,8,9,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1,1,87,211,1198248632
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,1,1,88,6,972567243
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,2,,141,2,876571829
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,1,,128,3,986089181
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,1,95,198,1472264855
1198943369,ER2_d(ring)_R,,ER2_d,Traced,1277,419,3,,69,2,861525206
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,1508,1105,,1,1272001412
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,916,552,7,1,1746881001
1229633648,TuBu09_SBU_R,,TuBu09,Traced,195,54,4,,54,49,170200709
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,7,3,1,22,1412316280
1260327246,ER3p_b(ring)_R,,ER3p_b,Traced,926,308,4,,91,8,609806834
1260754053,ER3w_a(ring)_R,,ER3w_a,Traced,1010,312,1,,91,1,805523804
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,1,,109,11,1276005185
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,4,1,94,4,596231811
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,1,,121,6,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,1,,137,2,568507214
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,2,,112,5,609683025
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,6,,146,5,661036009
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,6,2,133,5,611348841
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,3,10,6190229391
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,,3,5,1478126146
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,772,482,3,1,1501021625
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,1051,891,,1,1798572771
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,622,485,32,53,1931391198
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,191,40,246,289,1770276774
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,1,,96,1,743357121
