id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,LAL(L) #post,LAL(L) #pre,#voxels
386280932,FC2B(FQ7)_C7_R,FB1d356CRE,FC2B,Traced,2270,200,2225,147,17,8,451954908
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,2348,14,66,226,1542373100
485926760,FB4E_L,CRELALFB4_1,FB4E,Traced,788,138,529,135,30,3,296309896
486315287,FB5H_L,CRESMPFB5_3,FB5H,Traced,3530,1414,2280,1207,20,1,1336169619
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,3971,2823,76,21,3103732460
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,2229,13,41,162,1102000302
733203990,FB5Q_L,SMPCREFB5d,FB5Q,Traced,1245,469,524,417,1,1,597800683
736286550,FB5F_L,SMPCREFB5_2,FB5F,Traced,1400,516,612,470,29,1,629338023
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,2012,6,57,196,1535167929
767313151,FB5X_L,SMPCREFB5_8,FB5X,Traced,1504,465,654,430,122,9,599339916
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,1,3,4,2,2704741582
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,1598,110,2,2,690237195
797989902,FB5A_L,LALCREFB5,FB5A,Traced,4461,1098,3452,1083,426,2,1941985758
798002859,FB5E_L,CRESMPFB5_2,FB5E,Traced,2195,611,1701,572,46,4,709706874
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,1,,3,15,1534568346
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1711,4,59,193,1049700272
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,1748,10,43,200,1069803729
881458145,PFL1(PB12a)_R4_C5,PFLC,PFL1,Traced,1084,2,410,,,1,898083964
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,2694,14,67,186,1151779323
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,856,631,19,2,732988105
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,3227,10,5,4,723546053
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,624,2,9,42,868477066
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,2118,10,59,200,1366489368
917643796,OA-ASM2(ADM02)_L,,OA-ASM2,Traced,944,928,1,2,3,4,1384441420
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,695,90,,1,3151242119
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3695,1698,3,1,4148353890
947685653,FC2C(FQ7)_C7_R,FB1d367CRE,FC2C,Traced,1414,140,1357,98,6,8,379542248
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,2584,16,36,147,1090467478
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,2235,452,31,5,1132282137
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,2071,8,53,152,1104413493
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,873,11,5,39,1127535523
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,2073,112,14,16,761416202
1008028537,PFL3(PB12c)_R3_C5,PB1-7FB1245LAL,PFL3,Traced,1979,8,1272,5,,2,805860997
1036296133,PFR_a(PB11a)_R4_C6,PFR_a,PFR_a,Traced,1467,417,1405,412,,1,467260272
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3598,1723,2,2,5331729469
1039775880,FC2B(FQ7)_C6_R,FB1d356CRE,FC2B,Traced,2246,233,2190,183,4,4,482810578
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,1941,488,16,2,699203176
1049351868,FB5V_L,CRELALFB5,FB5V,Traced,723,155,121,144,215,4,323417675
1049674502,FB5V_L,CRELALFB5,FB5V,Traced,906,285,443,227,101,14,432827534
1050024735,FB5V_L,CRELALFB5,FB5V,Traced,722,178,114,163,261,3,370605789
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,1645,119,17,12,745793303
1070102904,FB5T_L,CRESMPFB5_6,FB5T,Traced,688,188,217,173,51,1,346991797
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,1900,134,18,7,737078778
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,961,4,5,3,868066626
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,2062,2154,1,2,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,2099,2147,1,1,1579340978
1101142279,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2700,526,1704,444,175,10,713952917
1103577592,FC2C(FQ7)_C8_R,FB1d367CRE,FC2C,Traced,1482,149,1443,114,1,2,352366383
1112777131,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1404,354,929,347,112,1,582749115
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,2441,620,27,5,1390563331
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,384,314,10,1,560532390
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,2245,129,10,13,704924127
1143129698,FB5V_L,CRELALFB5,FB5V,Traced,932,209,220,202,298,2,401889647
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,1345,111,15,11,639370086
1163190900,FB5V_L,CRELALFB5,FB5V,Traced,968,282,458,237,188,16,462718318
1163194940,FB4I_L,LALCREFB4,FB4I,Traced,1454,320,721,309,391,9,578397680
1163199311,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1690,678,837,626,135,4,817671200
1163228703,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1231,361,836,351,147,1,540522164
1163570493,FB5V_L,CRELALFB5,FB5V,Traced,1224,273,442,215,330,17,450487949
1166890100,FC2C(FQ7)_C1_R,FB1d367CRE,FC2C,Traced,1096,118,1059,86,,1,285576386
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,2093,6,48,160,1481422725
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,1,,3,1,670334136
1168664512,FC1C(FQ6)_C9_L,FB2CRE,FC1C,Traced,488,110,438,53,2,1,223552690
1194242354,FB4E_L,CRELALFB4_1,FB4E,Traced,754,194,618,191,66,1,306159092
1194562363,FB5V_L,CRELALFB5,FB5V,Traced,772,185,109,176,290,2,389750439
1198049989,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,1073,142,1020,102,3,5,304289885
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,3920,4,60,254,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,2113,5,56,175,1532312771
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,1289,937,1,1,638450431
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,1,,4,2,1276005185
1293896697,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1739,451,1047,429,157,2,631618150
