id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,b'L(R) #post,b'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,21,21,6917059458
859618655,FB4D_R,CRESMPFB4_2,FB4D,Traced,1648,336,1102,308,23,3,692407236
1043151516,,,,Traced,156,246,3,,4,4,889810212
1100801188,FB4D_R,CRESMPFB4_2,FB4D,Traced,1610,379,1009,340,2,2,678707599
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1,1,,1,1198248632
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,1850,822,12,2,1011197699
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,1945,881,6,3,905540252
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,1965,865,6,1,917030170
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,17,7,6190229391
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,1798,783,13,1,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,12,10,3486100136
