id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,gL(L) #post,gL(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,644,151,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,3971,2823,28,1,3103732460
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,856,631,14,1,732988105
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,2235,452,5,2,1132282137
1043151516,,,,Traced,156,246,3,,,8,889810212
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,1941,488,11,1,699203176
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,736,549,12,4,635401587
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,384,314,40,2,560532390
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,19,7,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,211,143,3486100136
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,2216,551,28,1,1329389740
5813086586,FB4R_L,CREFB4,FB4R,Traced,947,358,394,264,35,1,447109708
