id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,BU(L) #post,BU(L) #pre,#voxels
390818643,SMP188(PDL05)_L,,SMP188,Traced,950,471,31,70,1,6,687666518
488922181,SMP048_R,,SMP048,Traced,5146,2705,67,182,2,1,5638174363
826663057,,,,Traced,375,596,3,,2,13,495908932
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,1,,2,1,493818064
889414782,FB6N_L,CRESMPFB6_1,FB6N,Traced,2013,585,2,,1,1,888012974
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,134,279,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,143,276,5331729469
1039068185,FB5O_L,SMPCREFB5_5,FB5O,Traced,1930,574,3,,1,1,632536517
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1,,22,23,2079662476
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,27,5,6,2,1390563331
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,3,2,2,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,5,1,38,4,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,5,3,,1,786241461
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,7,2,1,1,795222199
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,1,,82,3,630315706
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,5,3,4,1,777031418
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1,1,2,1,720375603
1261773006,ER3a_b(ring)_L,,ER3a_b,Traced,585,259,2,,,1,306382934
1262183558,,,,Traced,5,10,2,4,1,1,10664662
1386331495,,,,Traced,16,3,2,2,13,1,6305568
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,7,3,26,2,783143047
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,4,1,,1,671097858
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,33,6,9,1,1173703683
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,5,2,3486100136
